timestep,fps,ep_len_min,ep_len_mean,ep_len_max,ep_len_std,return_min,return_mean,return_max,return_std,disc_return_mean,total_loss,value_loss,actor_loss,entropy,min_return_rate,max_return_rate
8192,109.99414391328493,1.0,2.9448647,34.0,3.115585,-2.0,-0.0032432433,2.0,1.0451037,-0.0018614904,0.28938037,0.29163587,-0.0022554938,1.7915899,0.026306306306306305,0.02810810810810811
16384,1185.3097731328796,1.0,2.9444945,53.0,3.1419504,-2.0,-0.008289782,2.0,1.044135,-0.007521912,0.2550517,0.26192063,-0.006868922,1.7904427,0.024328707875292847,0.028473598846639032
24576,1185.4925373608091,1.0,2.987671,54.0,3.2328606,-2.0,0.013427734,2.0,1.0430505,0.009105654,0.20204946,0.22098696,-0.018937487,1.7853191,0.025146484375,0.0272216796875
32768,1118.9557851154757,1.0,3.0561523,70.0,3.4292545,-2.0,0.056396484,2.0,1.0373838,0.047246568,0.15586759,0.18407854,-0.028210942,1.7719125,0.0224609375,0.027099609375
40960,1117.0227193292924,1.0,3.0488281,70.0,3.4670684,-2.0,0.14367676,2.0,1.0319537,0.127753,0.14813977,0.18439808,-0.03625831,1.733145,0.020751953125,0.0311279296875
49152,1164.4456639963062,1.0,3.005005,70.0,3.4102042,-2.0,0.26086426,2.0,1.0115021,0.23807062,0.120013,0.15871185,-0.038698852,1.6767591,0.014892578125,0.037841796875
57344,1120.6536463725051,1.0,2.988037,81.0,3.6033301,-2.0,0.38293457,2.0,0.97863746,0.35119104,0.09740974,0.13313952,-0.03572978,1.6092956,0.0106201171875,0.046142578125
65536,1113.436784841901,1.0,3.0579834,100.0,4.4693437,-2.0,0.515625,2.0,0.91895723,0.47477347,0.07812479,0.111237645,-0.033112854,1.5179007,0.006591796875,0.05224609375
73728,1099.8857649177944,1.0,3.0837402,100.0,5.1090713,-2.0,0.6402588,2.0,0.8445339,0.5932628,0.06771489,0.096419856,-0.028704965,1.4247789,0.00341796875,0.0592041015625
81920,1106.4676446399462,1.0,3.185913,100.0,6.1225467,-2.0,0.7408447,2.0,0.76153356,0.6907923,0.049214944,0.07036064,-0.021145696,1.3477045,0.0018310546875,0.0625
90112,1155.7453128301117,1.0,3.361206,100.0,7.349118,-2.0,0.79248047,2.0,0.70009905,0.74352276,0.0377304,0.051541828,-0.013811426,1.294915,0.0008544921875,0.0599365234375
98304,1107.3944691284207,1.0,3.6271973,100.0,8.82389,-2.0,0.8408203,2.0,0.6427584,0.7930227,0.036473773,0.042606637,-0.006132862,1.2355795,0.00048828125,0.06005859375
106496,1114.1063857782913,1.0,3.8431396,100.0,10.367617,-2.0,0.8787842,2.0,0.5849087,0.8311861,0.031324584,0.033892006,-0.0025674226,1.1783252,0.000244140625,0.0599365234375
114688,1111.5470681655283,1.0,4.2248535,100.0,12.015187,-1.0,0.9001465,2.0,0.55224144,0.8500352,0.03238052,0.02557604,0.0068044853,1.1926242,0.046630859375,0.0609130859375
122880,1189.4876315019574,1.0,4.4260254,100.0,12.958981,-1.0,0.9283447,2.0,0.51098037,0.8739427,0.0284587,0.025893126,0.0025655716,1.1165185,0.033203125,0.0640869140625
131072,1167.4572671370508,1.0,4.817383,100.0,14.376727,-1.0,0.9388428,2.0,0.49192214,0.88283634,0.026155043,0.022181626,0.0039734193,1.1567738,0.0264892578125,0.0657958984375
139264,1115.276100061412,1.0,5.0095215,100.0,15.2573595,-1.0,0.9498291,2.0,0.46513972,0.89099526,0.028653326,0.020974312,0.007679014,1.0505499,0.0194091796875,0.06494140625
147456,1133.3561447073284,1.0,5.3547363,100.0,16.106445,-1.0,0.953125,2.0,0.46219373,0.892163,0.025289971,0.018478617,0.0068113557,1.0836263,0.017822265625,0.066650390625
155648,1120.0092668107957,1.0,5.7163086,100.0,17.122742,-1.0,0.95751953,2.0,0.45436478,0.89674044,0.026994586,0.019140478,0.007854104,1.0915781,0.0150146484375,0.06787109375
163840,1131.2715796141729,1.0,5.9089355,100.0,17.71684,-1.0,0.9613037,2.0,0.44643953,0.90055114,0.02197861,0.017558614,0.0044199945,1.0483152,0.0120849609375,0.0689697265625
172032,1180.4973741291963,1.0,6.1046143,100.0,18.317122,-1.0,0.9584961,2.0,0.44026586,0.8995857,0.025107704,0.01656257,0.008545133,1.0137975,0.0113525390625,0.065673828125
180224,1160.2410188776635,1.0,6.3704834,100.0,18.98786,-1.0,0.960083,2.0,0.4399967,0.9001629,0.021219663,0.016095951,0.005123712,1.0088379,0.0111083984375,0.0665283203125
