timestep,fps,ep_len_min,ep_len_mean,ep_len_max,ep_len_std,return_min,return_mean,return_max,return_std,disc_return_mean,total_loss,value_loss,actor_loss,entropy,prob_fail,prob_success
8192,274.78398358014044,6.0,139.57895,500.0,119.63027,0.0,0.31578946,1.0,0.4648295,0.11560612,0.00040132887,0.008094464,-0.0036459025,2.1804128,0.68421054,0.31578946
16384,6652.953726379511,6.0,140.69725,500.0,129.17184,0.0,0.33027524,1.0,0.47031212,0.1275608,-0.00062649534,0.00732155,-0.004287271,2.1811006,0.66972476,0.33027524
24576,6663.387638546091,6.0,133.31792,500.0,122.45903,0.0,0.33526012,1.0,0.47208133,0.12823416,-0.00034541366,0.0075946855,-0.0041427566,2.1805224,0.6647399,0.33526012
32768,6679.046134754475,6.0,128.27615,500.0,121.725494,0.0,0.33054394,1.0,0.470409,0.13250925,-0.0009616655,0.006040102,-0.0039817165,2.181188,0.66945606,0.33054394
40960,6670.6203467894775,6.0,127.41234,500.0,125.77335,0.0,0.31493506,1.0,0.46448997,0.13193111,-0.0020186002,0.0052181715,-0.004627686,2.1695259,0.6850649,0.31493506
49152,6662.790681097135,6.0,131.78633,500.0,132.00613,0.0,0.3105413,1.0,0.46271524,0.13187815,-0.0010177178,0.0041889558,-0.0031121955,2.1529977,0.68945867,0.3105413
57344,6671.771834539575,3.0,137.83669,500.0,141.56284,0.0,0.30904523,1.0,0.46209988,0.13196978,-0.001989379,0.004173508,-0.0040761335,2.142306,0.69095474,0.30904523
65536,6661.319418126604,3.0,137.84326,500.0,146.1876,0.0,0.30242825,1.0,0.45930973,0.13291974,-0.00013551544,0.0050830627,-0.0026770467,2.135,0.69757175,0.30242825
73728,6676.063946143417,3.0,136.82558,500.0,149.20651,0.0,0.30426356,1.0,0.4600948,0.13731967,-0.00035335764,0.006136303,-0.003421509,2.1308587,0.6957364,0.30426356
81920,6660.573055566971,3.0,138.35036,500.0,152.67998,0.0,0.3028169,1.0,0.45947668,0.14162844,-0.0015858994,0.005249949,-0.0042108735,2.1274574,0.6971831,0.3028169
90112,6668.858265303409,3.0,139.00636,500.0,156.1206,0.0,0.31319556,1.0,0.46379316,0.15413097,-0.00024859424,0.0061286576,-0.003312923,2.1209853,0.6868045,0.31319556
98304,6667.34292097819,3.0,140.40059,500.0,158.60481,0.0,0.30409357,1.0,0.46002245,0.151573,-0.0006908121,0.003959587,-0.0026706052,2.1104288,0.69590646,0.30409357
106496,6699.805549727521,3.0,137.69048,500.0,159.10802,0.0,0.31084657,1.0,0.46284014,0.16262022,-0.0008694085,0.006685105,-0.004211961,2.1129036,0.68915343,0.31084657
114688,6666.794409318682,3.0,134.40337,500.0,159.55827,0.0,0.31212485,1.0,0.46336046,0.16799173,-0.0010788938,0.0062251044,-0.004191446,2.1151514,0.68787515,0.31212485
122880,6669.522335111498,3.0,135.2415,500.0,160.99718,0.0,0.31746033,1.0,0.46548823,0.17236543,-0.0009577753,0.0044252863,-0.0031704186,2.1112046,0.6825397,0.31746033
131072,6670.913038278441,3.0,135.15376,500.0,162.2547,0.0,0.3244963,1.0,0.46818635,0.17819503,-0.0031684313,0.0045764158,-0.0054566395,2.108455,0.67550373,0.3244963
139264,6682.341577219654,3.0,136.86058,500.0,164.79254,0.0,0.3229689,1.0,0.46761093,0.1793516,-0.0022342394,0.0045206603,-0.0044945693,2.0963836,0.6770311,0.3229689
147456,6699.320912198647,3.0,137.00383,500.0,165.82127,0.0,0.3212237,1.0,0.4669465,0.17960817,-0.00274413,0.003964714,-0.0047264867,2.094425,0.67877626,0.3212237
155648,6667.455480521315,3.0,135.84834,500.0,166.06187,0.0,0.32917038,1.0,0.46991196,0.18854852,-0.0011683579,0.0056919428,-0.004014329,2.0974426,0.6708296,0.32917038
163840,6658.767240398638,3.0,132.41035,500.0,164.9349,0.0,0.33552632,1.0,0.4721741,0.19508183,-0.00044156087,0.0075502587,-0.0042166905,2.0911064,0.6644737,0.33552632
172032,6724.249532616088,3.0,132.15042,500.0,164.88208,0.0,0.33671084,1.0,0.4725851,0.196506,-0.0017820974,0.00440892,-0.003986557,2.08804,0.6632892,0.33671084
180224,6676.084700652264,3.0,131.90755,500.0,165.14832,0.0,0.34615386,1.0,0.47574297,0.20333485,-0.002697873,0.005897464,-0.0056466055,2.076185,0.65384614,0.34615386
188416,6688.473482122505,3.0,131.56352,500.0,165.07393,0.0,0.35060325,1.0,0.4771589,0.20755678,-0.0017727108,0.0045934827,-0.004069452,2.0651588,0.6493967,0.35060325
196608,6665.4080087155335,3.0,130.25134,500.0,164.5872,0.0,0.3542781,1.0,0.478294,0.21313462,-0.0026430914,0.0058186427,-0.0055524125,2.0562072,0.6457219,0.3542781
204800,6663.957561360854,3.0,128.8046,500.0,163.27437,0.0,0.35632184,1.0,0.4789119,0.21599147,-0.0014730077,0.00497338,-0.0039596977,2.0500128,0.6436782,0.35632184
212992,6663.006452073305,3.0,129.68623,500.0,164.15785,0.0,0.3570105,1.0,0.47911796,0.216675,-0.0030007623,0.0032359157,-0.00461872,2.0471919,0.6429895,0.3570105
221184,6665.0821848135065,3.0,129.9178,500.0,164.4537,0.0,0.3589592,1.0,0.47969517,0.21869572,-0.0016418181,0.004814616,-0.004049126,2.0379078,0.6410408,0.3589592
229376,6657.798260976053,3.0,128.6131,500.0,163.40176,0.0,0.36239317,1.0,0.48069152,0.22178872,-0.0012550227,0.0034251136,-0.0029675793,2.028131,0.63760686,0.36239317
237568,6673.431764223296,3.0,129.1925,500.0,164.40059,0.0,0.3623828,1.0,0.48068854,0.22299457,-0.005625705,0.0025136627,-0.0068825367,2.0135949,0.63761723,0.3623828
245760,6657.624106828166,3.0,128.8343,500.0,164.37447,0.0,0.362813,1.0,0.48081154,0.2244966,-0.0025102552,0.003678389,-0.004349449,1.9990536,0.637187,0.362813
253952,6669.84600380782,3.0,128.7159,500.0,164.81953,0.0,0.36695832,1.0,0.481975,0.22933127,-0.0021253463,0.0033490553,-0.0037998739,1.9868965,0.6330417,0.36695832
262144,6662.816521196004,3.0,129.98598,500.0,165.9567,0.0,0.3687375,1.0,0.48246256,0.23214753,-0.0008897314,0.0020621684,-0.0019208156,1.9863967,0.63126254,0.3687375
270336,6658.870477200075,3.0,130.46677,500.0,166.51163,0.0,0.370479,1.0,0.48293304,0.23466797,-0.0020093373,0.003244351,-0.0036315129,1.9906362,0.629521,0.370479
278528,6658.906610836852,3.0,131.07802,500.0,167.22128,0.0,0.37297812,1.0,0.4835964,0.23762953,-0.0023333407,0.0031207665,-0.0038937242,1.98717,0.6270219,0.37297812
286720,6684.619240916407,3.0,130.4375,500.0,167.06822,0.0,0.37959558,1.0,0.4852863,0.24293362,-0.000933524,0.005412421,-0.0036397348,1.9782462,0.6204044,0.37959558
294912,6667.804827442068,3.0,131.23315,500.0,168.05443,0.0,0.38230008,1.0,0.48594934,0.24571618,-0.0023953882,0.0031139194,-0.003952348,1.9693807,0.6176999,0.38230008
303104,6659.959820520857,3.0,132.08916,500.0,169.14328,0.0,0.3820817,1.0,0.48589635,0.2467799,-0.0037040692,0.002881693,-0.005144916,1.9722633,0.6179183,0.3820817
311296,6662.833317367749,3.0,132.18228,500.0,169.45486,0.0,0.38091144,1.0,0.48561087,0.24633338,-0.004556968,0.003625051,-0.006369494,1.9700783,0.6190886,0.38091144
319488,6676.607497405411,3.0,132.42863,500.0,170.00237,0.0,0.38216826,1.0,0.48591733,0.24842992,-0.0042259237,0.0032932814,-0.0058725644,1.9635466,0.6178317,0.38216826
327680,6664.263886688032,3.0,132.02896,500.0,169.88477,0.0,0.3851489,1.0,0.4866305,0.25088546,-0.0031355736,0.0039412095,-0.005106178,1.9625096,0.61485106,0.3851489
335872,6658.962102542596,3.0,133.02516,500.0,170.77322,0.0,0.3861821,1.0,0.4868732,0.25201178,-0.0036541556,0.003469157,-0.0053887344,1.95717,0.6138179,0.3861821
344064,6701.495144597171,3.0,133.1394,500.0,171.05666,0.0,0.38656774,1.0,0.48696318,0.25273648,-0.0037545895,0.003863439,-0.005686309,1.9478679,0.6134322,0.38656774
352256,6662.354013740143,3.0,133.17528,500.0,171.24069,0.0,0.3872943,1.0,0.4871318,0.25391868,-0.0024555628,0.0030614005,-0.003986263,1.9390951,0.6127057,0.3872943
360448,6661.309086707408,3.0,132.06421,500.0,170.9822,0.0,0.39372694,1.0,0.48857555,0.26069006,-0.002893642,0.0061473893,-0.0059673367,1.93074,0.60627306,0.39372694
368640,6655.122453054978,3.0,131.73032,500.0,170.79146,0.0,0.39590076,1.0,0.4890433,0.26343736,-0.0019494931,0.004387334,-0.00414316,1.9127408,0.6040993,0.39590076
376832,6661.371075703298,3.0,130.67299,500.0,170.47559,0.0,0.3982456,1.0,0.48953658,0.26630244,-0.0042344923,0.003743116,-0.00610605,1.8925978,0.60175437,0.3982456
385024,6650.964071551446,3.0,130.26237,500.0,170.41794,0.0,0.40225178,1.0,0.4903522,0.27003747,-0.0032756394,0.005277381,-0.0059143305,1.8794801,0.5977482,0.40225178
393216,6663.7275127544635,3.0,129.82008,500.0,170.28061,0.0,0.40538743,1.0,0.49096692,0.27336365,-0.0054117334,0.0032945022,-0.0070589846,1.874151,0.5946126,0.40538743
401408,6668.020923306696,3.0,129.6902,500.0,170.34799,0.0,0.40676862,1.0,0.491231,0.27549747,-0.003435982,0.0027071298,-0.0047895466,1.8678416,0.5932314,0.40676862
409600,6638.827887849326,3.0,130.1244,500.0,170.89642,0.0,0.40878487,1.0,0.4916094,0.2772784,-0.0020014765,0.0024867854,-0.003244869,1.8624611,0.59121513,0.40878487
417792,6655.876619718746,3.0,130.46996,500.0,171.45111,0.0,0.4083045,1.0,0.49152002,0.27770218,-0.004385724,0.0031998223,-0.0059856353,1.8587775,0.5916955,0.4083045
425984,6665.550243422472,3.0,130.29218,500.0,171.57118,0.0,0.40948275,1.0,0.49173838,0.27957678,-0.0017583579,0.0040814653,-0.0037990904,1.8541745,0.5905172,0.40948275
434176,6663.702957942522,3.0,130.18019,500.0,171.49542,0.0,0.41035736,1.0,0.49189857,0.28074542,-0.0031045342,0.003344589,-0.004776829,1.849423,0.58964264,0.41035736
442368,6648.87782265009,3.0,130.84636,500.0,172.2142,0.0,0.41050118,1.0,0.49192473,0.28111604,-0.0033914777,0.0026842882,-0.0047336216,1.8492268,0.5894988,0.41050118
450560,6667.467124828898,3.0,130.53676,500.0,172.2934,0.0,0.41336057,1.0,0.49243638,0.2842024,-0.0023192663,0.0049106637,-0.004774598,1.85128,0.58663946,0.41336057
458752,6654.4651138559375,3.0,130.72806,500.0,172.55603,0.0,0.41480207,1.0,0.49268782,0.28606138,-0.0039277817,0.0025039893,-0.0051797763,1.8517601,0.5851979,0.41480207
466944,6654.408408323497,3.0,130.59708,500.0,172.7246,0.0,0.41725203,1.0,0.4931052,0.28872773,-0.0045747533,0.0026247937,-0.0058871503,1.8500397,0.58274794,0.41725203
475136,6658.030480680132,3.0,130.58133,500.0,172.786,0.0,0.41866887,1.0,0.49334094,0.29030046,-0.002193873,0.003264281,-0.0038260133,1.8524182,0.58133113,0.41866887
483328,6663.686157385984,3.0,129.94125,500.0,172.2543,0.0,0.42203572,1.0,0.49388418,0.29274008,-0.0021721958,0.0038497273,-0.00409706,1.8503735,0.57796425,0.42203572
491520,6665.292932349671,3.0,129.71565,500.0,172.34691,0.0,0.42439544,1.0,0.49425086,0.29484034,-0.002711837,0.0028507495,-0.0041372115,1.8402767,0.57560456,0.42439544
499712,6682.530023575741,3.0,129.14821,500.0,172.13626,0.0,0.42641705,1.0,0.49455592,0.2972889,-0.0031236683,0.0052792337,-0.005763285,1.8325559,0.57358295,0.42641705
