timestep,fps,ep_len_min,ep_len_mean,ep_len_max,ep_len_std,return_min,return_mean,return_max,return_std,disc_return_mean,total_loss,value_loss,actor_loss,entropy,prob_fail,prob_success
8192,258.79318972250604,6.0,139.57895,500.0,119.63027,-1.0,-0.31578946,1.0,0.92067665,-0.1547473,0.007930236,0.024511758,-0.0043256427,2.1776726,0.68421054,0.31578946
16384,6655.751558040784,6.0,142.85858,500.0,131.29988,-1.0,-0.35353535,1.0,0.9024448,-0.16674127,0.009182714,0.026977502,-0.0043060365,2.17839,0.7070707,0.2929293
24576,6657.088801125901,6.0,155.91176,500.0,140.59137,-1.0,-0.34558824,1.0,0.9024369,-0.13931546,0.00151192,0.013671696,-0.0053239283,2.1802678,0.7058824,0.29411766
32768,6651.986438052904,6.0,180.1132,500.0,161.03563,-1.0,-0.3081761,1.0,0.88274646,-0.10819193,-0.0032160168,0.004717122,-0.005574578,2.1865788,0.7169811,0.28301886
40960,6666.725851706907,4.0,192.7766,500.0,172.58464,-1.0,-0.27659574,1.0,0.86791825,-0.09086239,-0.0015777857,0.0067084827,-0.0049320273,2.1804616,0.7234042,0.27659574
49152,6670.622936867005,4.0,212.45755,500.0,183.97319,-1.0,-0.24528302,1.0,0.8446426,-0.08323185,0.0013728606,0.004069395,-0.00066183676,2.1686625,0.7358491,0.26415095
57344,6659.572572353144,4.0,226.34335,500.0,190.46251,-1.0,-0.2274678,1.0,0.8259322,-0.079561695,-0.0030043186,0.0033948757,-0.004701756,2.1684883,0.7467811,0.2532189
65536,6659.593224451903,4.0,236.68217,500.0,196.38354,-1.0,-0.18604651,1.0,0.81428564,-0.058473688,-0.0004955442,0.0032544534,-0.0021227708,2.1728437,0.74418604,0.25581396
73728,6662.44185937836,4.0,247.7,500.0,200.45195,-1.0,-0.16428572,1.0,0.7983082,-0.04640981,-0.0016355598,0.0022829762,-0.002777048,2.1741822,0.75,0.25
81920,6648.022337215568,4.0,258.14667,500.0,203.63814,-1.0,-0.14666666,1.0,0.7821906,-0.037500948,-0.0021487335,0.0013982139,-0.00284784,2.171234,0.75666666,0.24333334
90112,6665.100285305709,4.0,268.77814,500.0,205.9027,-1.0,-0.134375,1.0,0.76489764,-0.03311506,-0.0023317765,0.0012189543,-0.0029412536,2.168662,0.765625,0.234375
98304,6705.4971186243865,4.0,274.74417,500.0,207.41948,-1.0,-0.13081396,1.0,0.75312024,-0.035747923,0.001514546,0.005324101,-0.0011475042,2.1684597,0.7732558,0.22674419
106496,6672.788945613637,4.0,282.86227,500.0,208.23167,-1.0,-0.11570248,1.0,0.74067295,-0.028516993,-0.0023981566,0.00092976284,-0.0028630379,2.162355,0.7768595,0.2231405
114688,6674.770935308428,4.0,288.03116,500.0,208.851,-1.0,-0.1064935,1.0,0.73260576,-0.024846159,-0.0038764821,0.0027674863,-0.0052602254,2.1581452,0.77922076,0.22077923
122880,6705.888417538803,4.0,294.3111,500.0,208.94475,-1.0,-0.09135803,1.0,0.722854,-0.01864282,-0.001412075,0.0010727631,-0.0019484565,2.1532416,0.7802469,0.21975309
131072,6677.109615033328,4.0,299.82312,500.0,208.72948,-1.0,-0.08254717,1.0,0.71392953,-0.0138642,-0.0020315475,0.0016293628,-0.002846229,2.1472645,0.7830189,0.21698113
139264,6702.905752838027,4.0,305.7828,500.0,208.71976,-1.0,-0.07239819,1.0,0.7049971,-0.009457243,-0.0017313738,0.0012727949,-0.0023677712,2.1438456,0.78506786,0.21493213
147456,6686.380554082547,4.0,309.53995,500.0,209.01508,-1.0,-0.058315333,1.0,0.6977679,-0.0010757406,-0.0025526015,0.000665971,-0.002885587,2.134071,0.78401726,0.21598272
155648,6671.598244012651,4.0,316.28543,500.0,208.27695,-1.0,-0.05625,1.0,0.68538505,-0.0010376413,-0.0030016564,0.0003761818,-0.003189747,2.129137,0.7916667,0.20833333
163840,6676.816379544535,4.0,320.662,500.0,208.04262,-1.0,-0.05,1.0,0.6778643,0.0041069067,-0.0050328653,0.0014335008,-0.005749615,2.1251202,0.794,0.206
172032,6668.680943497443,4.0,323.85742,500.0,207.77586,-1.0,-0.05202312,1.0,0.6708856,0.0024039024,-0.0020068742,0.002420725,-0.0032172366,2.1236992,0.79961467,0.20038536
180224,6706.121386405519,4.0,327.3562,500.0,207.2525,-1.0,-0.050092764,1.0,0.66400635,0.0029174455,-0.0038109021,0.0017217688,-0.004671787,2.120532,0.80333954,0.19666049
188416,6703.827740751876,4.0,332.2316,500.0,206.24702,-1.0,-0.0502693,1.0,0.6544866,0.00221066,-0.0030433538,0.001016398,-0.0035515525,2.113476,0.80969477,0.1903052
196608,6674.739815844935,4.0,335.25174,500.0,205.97061,-1.0,-0.043402776,1.0,0.64806724,0.006559415,-0.005043964,0.0010524931,-0.0055702105,2.111744,0.8107639,0.1892361
204800,6680.384962642249,4.0,338.07407,500.0,205.41425,-1.0,-0.04040404,1.0,0.6422686,0.006450104,-0.0042243144,0.0012167052,-0.0048326673,2.1114674,0.81313133,0.18686868
212992,6707.567987946588,4.0,342.32132,500.0,204.34764,-1.0,-0.039344262,1.0,0.6338223,0.0062809195,-0.0039988654,0.00021980391,-0.004108767,2.1073282,0.8180328,0.18196721
221184,6659.810079222494,4.0,344.49445,500.0,204.23654,-1.0,-0.034865294,1.0,0.62847507,0.008714853,-0.0012258303,0.001260044,-0.0018558523,2.1018023,0.8193344,0.18066561
229376,6710.207515723995,4.0,347.42065,500.0,203.49883,-1.0,-0.03081664,1.0,0.6223665,0.0103945825,-0.0020693084,0.0007061404,-0.0024223789,2.0923047,0.8212635,0.17873652
237568,6711.560177720967,4.0,350.6216,500.0,202.60185,-1.0,-0.028528528,1.0,0.6156834,0.011164468,-0.0021795358,0.00020214196,-0.002280607,2.0822852,0.8243243,0.17567568
245760,6667.185085261451,4.0,352.76642,500.0,202.09584,-1.0,-0.023357663,1.0,0.61088216,0.01384617,-0.002399999,0.0005117856,-0.0026558917,2.0724883,0.82481754,0.17518248
253952,6712.957976875677,4.0,354.7088,500.0,201.72252,-1.0,-0.021306818,1.0,0.60617137,0.014415815,-0.0030878368,0.00093360466,-0.0035546394,2.0633645,0.82670456,0.17329545
262144,6700.7214578977555,4.0,355.5793,500.0,201.91577,-1.0,-0.016551724,1.0,0.6032114,0.017842207,-0.0024310704,0.0012314995,-0.0030468202,2.0661802,0.8262069,0.1737931
270336,6670.4299815979375,4.0,358.18927,500.0,201.15164,-1.0,-0.013422819,1.0,0.59738326,0.01946001,-0.0022625609,0.0008552056,-0.0026901634,2.0720515,0.82818794,0.17181209
278528,6714.711949757313,4.0,359.08487,500.0,201.09656,-1.0,-0.011749348,1.0,0.594683,0.020448714,-0.0040453803,0.002083778,-0.0050872695,2.0751963,0.8289817,0.17101827
286720,6677.934964658762,4.0,360.6586,500.0,200.76022,-1.0,-0.010191083,1.0,0.590712,0.021238705,-0.00083855103,0.0011898171,-0.0014334596,2.0801363,0.83057326,0.16942675
294912,6668.60328728158,4.0,360.6547,500.0,201.17905,-1.0,-0.006188119,1.0,0.58968973,0.023279374,-0.005250674,0.0021639783,-0.006332664,2.08164,0.8292079,0.17079207
303104,6698.017572098294,4.0,362.5,500.0,200.6611,-1.0,-0.0036319613,1.0,0.585322,0.02502935,-0.003719188,0.00063745707,-0.0040379167,2.0774434,0.8305085,0.16949153
311296,6664.654266099792,4.0,363.71243,500.0,200.21605,-1.0,0.001183432,1.0,0.5827894,0.02720207,-0.003098342,0.0008602911,-0.0035284874,2.0711906,0.8295858,0.1704142
319488,6706.514067196035,4.0,365.42758,500.0,199.68983,-1.0,0.0034762456,1.0,0.5786763,0.028678624,-0.005175596,0.00032545484,-0.005338324,2.062014,0.8308227,0.1691773
327680,6666.015781272311,4.0,364.66968,500.0,200.62022,-1.0,0.00789177,1.0,0.5785968,0.032076344,-0.003063328,0.0015080484,-0.0038173525,2.061775,0.8286359,0.17136414
335872,6708.759775563332,4.0,364.06705,500.0,201.17558,-1.0,0.012087912,1.0,0.57880807,0.03436024,-0.0035160002,0.002095529,-0.0045637647,2.058251,0.82637364,0.17362638
344064,6673.261975498687,4.0,365.55698,500.0,200.61894,-1.0,0.015053763,1.0,0.57528794,0.035605915,-0.0030869625,0.0005119286,-0.003342927,2.0498054,0.8268817,0.17311828
352256,6658.040801931854,4.0,367.83087,500.0,199.66916,-1.0,0.014799154,1.0,0.5704054,0.035003703,-0.003593474,0.0002102034,-0.0036985755,2.0517075,0.8298097,0.17019027
360448,6676.411601189016,4.0,367.7031,500.0,200.00206,-1.0,0.016494846,1.0,0.5705271,0.037056245,-0.002756182,0.00260059,-0.004056478,2.0525503,0.828866,0.17113402
368640,6665.746795916403,4.0,366.6167,500.0,200.87314,-1.0,0.02112676,1.0,0.57141525,0.040172853,-0.0047379863,0.0021740338,-0.005825003,2.0485399,0.82595575,0.17404427
376832,6687.22251376866,4.0,368.29883,500.0,200.26366,-1.0,0.020710059,1.0,0.56750005,0.03929774,-0.004284482,0.0016759872,-0.0051224753,2.0453455,0.82840234,0.17159763
385024,6663.754652493992,4.0,368.72903,500.0,200.17967,-1.0,0.022179363,1.0,0.5662391,0.040778216,-0.0027572506,0.001541523,-0.0035280122,2.0424562,0.828351,0.171649
393216,6679.648605816859,4.0,370.05023,500.0,199.71063,-1.0,0.023696683,1.0,0.56300443,0.04172131,-0.005515429,0.00013109247,-0.0055809747,2.0381687,0.8293839,0.17061612
401408,6663.20543889255,4.0,371.43057,500.0,199.0967,-1.0,0.025163094,1.0,0.5598567,0.04214124,-0.002085536,0.00049435557,-0.0023327137,2.034074,0.8303821,0.16961789
409600,6679.883650938039,4.0,372.68286,500.0,198.60793,-1.0,0.022914758,1.0,0.55695516,0.040019434,-0.002624846,0.0010073992,-0.0031285458,2.0304494,0.83318055,0.16681944
417792,6667.583570141728,4.0,373.91434,500.0,198.09303,-1.0,0.024346258,1.0,0.55397785,0.040640116,-0.0021390496,0.00056279753,-0.0024204482,2.0209796,0.83408475,0.16591524
425984,6674.143415536382,4.0,373.77344,500.0,198.35692,-1.0,0.025663717,1.0,0.5535531,0.041582678,-0.0029781912,0.00161664,-0.0037865117,2.006288,0.8336283,0.16637169
434176,6667.601684222619,4.0,375.23627,500.0,197.69743,-1.0,0.026155187,1.0,0.5501964,0.04160482,-0.0036318984,0.0003078183,-0.0037858072,2.0014088,0.8352223,0.16477768
442368,6663.9330048534985,4.0,376.06262,500.0,197.39702,-1.0,0.02658662,1.0,0.5480167,0.04174258,-0.0036236262,0.00070758985,-0.0039774207,1.9991031,0.83619213,0.16380788
450560,6665.992502835396,4.0,375.05872,500.0,197.99992,-1.0,0.031040268,1.0,0.54944414,0.04372464,-0.0016245635,0.003114396,-0.0031817618,1.9966881,0.8330537,0.1669463
458752,6658.9943655873885,4.0,375.85052,500.0,197.72148,-1.0,0.031379025,1.0,0.5473513,0.043583084,-0.005972491,0.0012497329,-0.006597358,1.9837815,0.83402145,0.16597854
466944,6691.4315854334445,4.0,376.93652,500.0,197.21432,-1.0,0.030919448,1.0,0.54483676,0.04294476,-0.0028289724,0.00057501096,-0.0031164777,1.9696559,0.8356387,0.16436127
475136,6665.698949834025,4.0,377.28745,500.0,197.17995,-1.0,0.034427542,1.0,0.54392314,0.045126863,-0.003774236,0.00051000644,-0.004029239,1.9684066,0.83426744,0.16573259
