timestep,fps,ep_len_min,ep_len_mean,ep_len_max,ep_len_std,return_min,return_mean,return_max,return_std,disc_return_mean,total_loss,value_loss,actor_loss,entropy,prob_fail,prob_success
8192,356.5125314227049,7.0,140.46666,500.0,116.50362,-1.0,-0.17777778,1.0,0.9727142,-0.091895804,0.017158743,0.042190567,-0.0039365436,2.170235,0.6,0.4
16384,7454.261135863621,7.0,163.82143,500.0,140.29893,-1.0,-0.33333334,1.0,0.90413505,-0.12189332,0.014425939,0.034882016,-0.0030150688,2.165101,0.70238096,0.29761904
24576,7465.822496763011,5.0,172.56154,500.0,147.24663,-1.0,-0.32307693,1.0,0.89627767,-0.11287134,0.008537062,0.026456527,-0.004691202,2.1638937,0.7076923,0.2923077
32768,7442.4711375695815,5.0,184.13939,500.0,158.42195,-1.0,-0.28484848,1.0,0.8863002,-0.10931202,0.0009787297,0.012897521,-0.005470031,2.1592188,0.7090909,0.29090908
40960,7468.842639677768,4.0,187.685,500.0,163.02452,-1.0,-0.27,1.0,0.8871865,-0.10901718,-0.00059560273,0.012665242,-0.006928224,2.1501722,0.705,0.295
49152,7474.900018752657,4.0,206.75676,500.0,175.47166,-1.0,-0.23873875,1.0,0.86562705,-0.096785,-0.0035699937,0.0036404775,-0.0053902334,2.137782,0.7162162,0.2837838
57344,7468.8150399952,4.0,222.6057,500.0,183.92825,-1.0,-0.23577236,1.0,0.841807,-0.09488231,-0.0034420309,0.004674052,-0.005779057,2.1325192,0.7357724,0.26422763
65536,7476.555807387137,4.0,234.83458,500.0,188.60455,-1.0,-0.24060151,1.0,0.8194109,-0.09664165,-0.0029262523,0.0039623636,-0.004907434,2.138198,0.7556391,0.24436091
73728,7461.718955125541,4.0,240.10239,500.0,193.22789,-1.0,-0.221843,1.0,0.8107221,-0.08605078,-0.001742309,0.0055149915,-0.0044998047,2.137572,0.75767916,0.24232082
81920,7465.77220877726,4.0,247.76898,500.0,196.15813,-1.0,-0.20886075,1.0,0.7999509,-0.07750799,-0.0020685177,0.0037191447,-0.0039280904,2.1178846,0.76265824,0.23734178
90112,7471.80835839902,4.0,250.84348,500.0,198.54884,-1.0,-0.1884058,1.0,0.79628414,-0.06833615,-0.0013582685,0.005709283,-0.00421291,2.1137419,0.7594203,0.24057971
98304,7467.9270884817,4.0,259.40985,500.0,200.79674,-1.0,-0.17759563,1.0,0.78485715,-0.06040252,-0.0019138647,0.0023873313,-0.0031075305,2.114314,0.76502734,0.23497267
106496,7470.351191362678,4.0,264.42673,500.0,202.76517,-1.0,-0.15167095,1.0,0.7789839,-0.045828566,-0.0027148328,0.0020607521,-0.003745209,2.1060786,0.7609255,0.23907454
114688,7483.192823049455,4.0,271.96814,500.0,203.33043,-1.0,-0.13970588,1.0,0.77180207,-0.040417638,-0.0039417096,0.0019573546,-0.0049203867,2.0932908,0.7622549,0.23774509
122880,7461.16319203847,4.0,275.86948,500.0,204.53964,-1.0,-0.13286713,1.0,0.7655559,-0.038089804,-0.0026820279,0.0023840992,-0.003874077,2.0847976,0.76456875,0.23543124
