timestep,fps,ep_len_min,ep_len_mean,ep_len_max,ep_len_std,return_min,return_mean,return_max,return_std,disc_return_mean,total_loss,value_loss,actor_loss,entropy,prob_fail,prob_success
8192,284.15538240745735,12.0,286.45,500.0,168.22618,0.0,0.7,1.0,0.45825756,0.17889664,0.0039564953,0.012152088,-0.0021195489,2.1770444,0.3,0.7
16384,6348.42833962946,12.0,282.32608,500.0,184.02257,0.0,0.67391306,1.0,0.46877953,0.2052732,-0.00068763806,0.005345704,-0.00336049,2.1746922,0.32608697,0.67391306
24576,6340.152192120622,12.0,291.7361,500.0,184.26408,0.0,0.6388889,1.0,0.48032266,0.19276997,-0.0025841522,0.0039636125,-0.004565958,2.1678202,0.3611111,0.6388889
32768,6357.635320596749,12.0,304.6979,500.0,188.04681,0.0,0.59375,1.0,0.4911323,0.18285425,-0.0021826453,0.0030342422,-0.0036997662,2.15843,0.40625,0.59375
40960,6340.401391060704,12.0,302.9113,500.0,188.20653,0.0,0.58870965,1.0,0.49206764,0.1838446,-0.0018770746,0.0038225201,-0.0037883346,2.1453433,0.41129032,0.58870965
49152,6360.489281586892,12.0,317.2361,500.0,189.35042,0.0,0.5416667,1.0,0.4982609,0.17338583,-0.0038486677,0.0015129137,-0.004605125,2.1334767,0.45833334,0.5416667
57344,6368.808018827793,5.0,319.15204,500.0,192.19289,0.0,0.54385966,1.0,0.4980726,0.18010797,-0.001800542,0.00391026,-0.0037556717,2.1290936,0.45614034,0.54385966
65536,6355.486831593669,5.0,316.00507,500.0,194.94559,0.0,0.5431472,1.0,0.49813482,0.1893321,-0.005833587,0.002617746,-0.0071424595,2.1209035,0.4568528,0.5431472
73728,6364.938327242199,5.0,307.85153,500.0,196.68985,0.0,0.558952,1.0,0.4965125,0.20053487,-0.0037003416,0.0037191573,-0.0055599203,2.111134,0.44104803,0.558952
81920,6408.3580785,5.0,292.69403,500.0,200.23749,0.0,0.58208954,1.0,0.49321526,0.22628057,-0.0025955888,0.004166931,-0.0046790545,2.1067708,0.41791046,0.58208954
90112,6424.15695254819,5.0,273.88126,500.0,203.46643,0.0,0.609375,1.0,0.48789048,0.25767255,-0.0020275933,0.0053143553,-0.004684771,2.1038976,0.390625,0.609375
98304,6342.155697416327,4.0,263.4916,500.0,204.66371,0.0,0.6256983,1.0,0.48394206,0.27697468,-0.0041094436,0.0035400696,-0.005879478,2.1036117,0.37430167,0.6256983
106496,6345.900448390408,4.0,259.8495,500.0,206.22849,0.0,0.627551,1.0,0.4834571,0.28751957,-0.0040086713,0.0033234674,-0.0056704055,2.1010273,0.37244898,0.627551
114688,6359.345035777141,4.0,245.01097,500.0,205.30208,0.0,0.6535088,1.0,0.4758519,0.30853736,-0.0042687086,0.004383324,-0.006460371,2.0956197,0.34649122,0.6535088
122880,6370.520205882838,4.0,234.31055,500.0,204.86028,0.0,0.6699219,1.0,0.47024095,0.32681048,-0.0046863155,0.003509543,-0.006441087,2.0865571,0.33007812,0.6699219
131072,6366.715677656438,4.0,225.05923,500.0,203.84349,0.0,0.684669,1.0,0.4646476,0.3425687,-0.0020524543,0.004771687,-0.004438298,2.0829675,0.315331,0.684669
139264,6378.679300359741,4.0,214.7725,500.0,203.13403,0.0,0.69984204,1.0,0.4583265,0.36310422,-0.003020815,0.0032401148,-0.004640872,2.0840313,0.30015796,0.69984204
147456,6481.616924468215,4.0,204.94217,500.0,201.75221,0.0,0.7150917,1.0,0.45137075,0.38237056,-8.7214896e-05,0.0056877346,-0.0029310824,2.0854886,0.28490832,0.7150917
155648,6494.6242904956425,4.0,191.39076,500.0,198.23848,0.0,0.7403246,1.0,0.4384565,0.40730363,-0.005010332,0.0055485875,-0.0077846255,2.0802457,0.2596754,0.7403246
163840,6476.57846464715,4.0,185.06575,500.0,195.7912,0.0,0.7543253,1.0,0.43048653,0.41798088,-0.004328871,0.005404615,-0.007031178,2.0706987,0.24567474,0.7543253
172032,6390.2517730015015,4.0,168.48476,500.0,189.8423,0.0,0.78466076,1.0,0.4110575,0.45002252,-0.0030527583,0.008249057,-0.007177288,2.0628805,0.21533923,0.78466076
180224,6388.519461984394,4.0,152.05583,500.0,182.00064,0.0,0.8147208,1.0,0.3885239,0.48082578,-0.0054088356,0.0059425877,-0.00838013,2.055084,0.18527919,0.8147208
188416,6393.496738659179,4.0,138.94815,500.0,174.73598,0.0,0.837037,1.0,0.36933187,0.50570405,-0.004844702,0.0053249523,-0.0075071775,2.041121,0.16296296,0.837037
