timestep,fps,ep_len_min,ep_len_mean,ep_len_max,ep_len_std,return_min,return_mean,return_max,return_std,disc_return_mean,total_loss,value_loss,actor_loss,entropy,prob_fail,prob_success
8192,371.08534507365874,12.0,317.44446,500.0,177.85455,0.0,0.6111111,1.0,0.48749802,0.17325519,-0.0012244881,0.004809842,-0.0036294092,2.1703806,0.3888889,0.6111111
16384,7052.556595452955,12.0,311.06818,500.0,178.43835,0.0,0.6136364,1.0,0.4869156,0.16591014,-0.0003945055,0.00576377,-0.0032763905,2.16401,0.38636363,0.6136364
24576,7052.267090845838,12.0,322.4394,500.0,182.60173,0.0,0.57575756,1.0,0.49422747,0.16641174,-0.00080811395,0.0033767733,-0.0024965007,2.1693172,0.42424244,0.57575756
32768,7124.87946980208,12.0,339.21838,500.0,182.90099,0.0,0.52873564,1.0,0.49917358,0.15463093,9.3229e-05,0.0026973512,-0.0012554467,2.1745257,0.47126436,0.52873564
40960,7113.362389031427,12.0,321.37607,500.0,187.59634,0.0,0.5641026,1.0,0.49587384,0.1765811,-0.0004464004,0.0050631966,-0.0029779985,2.1726224,0.43589744,0.5641026
49152,7061.56626321305,12.0,323.7465,500.0,187.97241,0.0,0.5492958,1.0,0.497564,0.17527464,-0.0029594346,0.0027177911,-0.00431833,2.161874,0.45070422,0.5492958
57344,7052.132479299084,12.0,320.32544,500.0,191.66866,0.0,0.53846157,1.0,0.49851853,0.18347211,-0.0026397407,0.0029403986,-0.00410994,2.1581895,0.46153846,0.53846157
65536,7046.710317500196,4.0,309.99005,500.0,194.1994,0.0,0.5572139,1.0,0.49671575,0.19861965,-0.002152514,0.004683987,-0.004494507,2.1633513,0.44278607,0.5572139
73728,7049.259097532043,4.0,300.42554,500.0,197.74623,0.0,0.5744681,1.0,0.49442342,0.21974094,-0.002371646,0.0045407135,-0.0046420023,2.1676257,0.42553192,0.5744681
81920,7061.733164749269,4.0,297.6391,500.0,199.98698,0.0,0.5714286,1.0,0.49487165,0.22790632,-0.002541101,0.002510998,-0.0037965998,2.1659033,0.42857143,0.5714286
90112,7053.471586261063,4.0,295.53793,500.0,199.44415,0.0,0.57586205,1.0,0.49421147,0.22801133,-0.0020910115,0.0031567207,-0.0036693716,2.1613984,0.42413792,0.57586205
98304,7120.269935716073,4.0,294.34686,500.0,200.55142,0.0,0.571875,1.0,0.49480703,0.23172443,-0.0027715724,0.0026854326,-0.0041142884,2.1573732,0.428125,0.571875
106496,7180.1318571460515,4.0,291.5284,500.0,203.18681,0.0,0.5738636,1.0,0.49451408,0.24314824,-0.0008944733,0.0039385715,-0.0028637592,2.1535003,0.42613637,0.5738636
114688,7058.836003871295,4.0,290.56805,500.0,203.20935,0.0,0.57329845,1.0,0.49459815,0.24350698,-0.00061235,0.0035102414,-0.0023674709,2.1500654,0.42670158,0.57329845
122880,7067.373265667587,4.0,289.6029,500.0,204.73705,0.0,0.5690073,1.0,0.49521515,0.24861613,-0.0018136131,0.0034289625,-0.0035280942,2.1487536,0.43099272,0.5690073
131072,7069.814822938472,4.0,289.72726,500.0,205.13608,0.0,0.5659091,1.0,0.49563697,0.2491807,-0.0032135935,0.003219734,-0.0048234602,2.1468859,0.4340909,0.5659091
139264,7056.442599222225,4.0,288.1149,500.0,206.6073,0.0,0.5638298,1.0,0.495909,0.25551644,-0.0038227,0.002585237,-0.005115317,2.1468167,0.43617022,0.5638298
147456,7050.190592150755,4.0,286.22556,500.0,206.07858,0.0,0.56886226,1.0,0.4952353,0.25629866,-0.0012341358,0.004245051,-0.003356662,2.14391,0.4311377,0.56886226
155648,7052.475531767067,4.0,283.3501,500.0,207.49652,0.0,0.5735568,1.0,0.4945598,0.2648597,-0.00067790406,0.004174168,-0.0027649882,2.1406877,0.4264432,0.5735568
163840,7053.6410014275725,4.0,287.5663,500.0,207.87222,0.0,0.5609319,1.0,0.49627343,0.2599164,-0.0029885457,0.0022321912,-0.0041046413,2.137147,0.4390681,0.5609319
172032,7147.880150189839,4.0,283.36932,500.0,208.66124,0.0,0.56661046,1.0,0.49554315,0.26677346,-0.0019709275,0.004013972,-0.0039779134,2.1375754,0.43338954,0.56661046
180224,7148.351553446817,4.0,278.6388,500.0,208.87881,0.0,0.57570976,1.0,0.4942348,0.27336738,-0.00082892564,0.0045074704,-0.003082661,2.1388373,0.4242902,0.57570976
188416,7055.771693531578,4.0,279.33133,500.0,208.92216,0.0,0.5733737,1.0,0.494587,0.27265894,-0.003017466,0.002748362,-0.004391647,2.1480556,0.42662632,0.5733737
196608,7055.492066412481,4.0,277.1628,500.0,209.20656,0.0,0.5778098,1.0,0.49390852,0.2771541,-0.0029630992,0.0028464643,-0.004386332,2.1520953,0.4221902,0.5778098
204800,7053.060390134097,4.0,274.71857,500.0,209.32866,0.0,0.5833333,1.0,0.49300662,0.28151742,-0.0029032058,0.003697311,-0.0047518616,2.150821,0.41666666,0.5833333
212992,7079.70880828802,4.0,274.22745,500.0,209.48674,0.0,0.58300656,1.0,0.49306178,0.2822719,-0.0025483698,0.002504024,-0.0038003817,2.1489484,0.41699347,0.58300656
221184,7219.961363246671,4.0,273.87012,500.0,210.0735,0.0,0.5813367,1.0,0.49334,0.28454995,-0.0017077876,0.0020552499,-0.0027354124,2.1497033,0.4186633,0.5813367
229376,7054.110193595328,4.0,272.86594,500.0,210.54335,0.0,0.5821256,1.0,0.49320927,0.287512,-0.00440904,0.0024206198,-0.00561935,2.1488922,0.4178744,0.5821256
237568,7069.029385248988,4.0,269.51782,500.0,211.22324,0.0,0.58688146,1.0,0.49239376,0.29482067,-0.0031345822,0.003726603,-0.004997883,2.1517878,0.41311854,0.58688146
245760,7070.712471897511,4.0,266.41455,500.0,211.22833,0.0,0.59316427,1.0,0.49124375,0.2999876,-0.0015826549,0.003371356,-0.003268333,2.152949,0.40683573,0.59316427
253952,7222.620336161303,4.0,261.5829,500.0,211.30267,0.0,0.6016684,1.0,0.4895544,0.30716497,0.00041592267,0.0054211784,-0.0022946661,2.147497,0.39833158,0.6016684
262144,7060.144291873025,4.0,259.1922,500.0,211.65437,0.0,0.6056056,1.0,0.4887202,0.31223655,-0.0026940922,0.003015291,-0.004201737,2.1439784,0.3943944,0.6056056
270336,7064.199873147715,4.0,255.53531,500.0,211.3527,0.0,0.6145038,1.0,0.4867123,0.31749722,-0.001827386,0.005377373,-0.0045160726,2.1349032,0.38549617,0.6145038
278528,7064.329136097516,4.0,249.45546,500.0,210.91296,0.0,0.6281818,1.0,0.4832902,0.32754555,-0.00065219245,0.005274397,-0.0032893908,2.1220021,0.37181818,0.6281818
286720,7055.338498252784,4.0,244.47545,500.0,210.75044,0.0,0.63910425,1.0,0.48026037,0.33680835,-0.0018665234,0.0066783535,-0.0052057,2.11395,0.36089578,0.63910425
294912,7053.806080443564,4.0,239.25348,500.0,209.84636,0.0,0.6513536,1.0,0.47654185,0.34436607,-0.0004988449,0.007578687,-0.004288188,2.1028538,0.34864643,0.6513536
303104,7063.743859625319,4.0,232.2294,500.0,208.85724,0.0,0.66589683,1.0,0.47167602,0.35489,0.0012698852,0.008750323,-0.003105276,2.098328,0.33410317,0.66589683
311296,7062.829105573038,4.0,225.30635,500.0,207.25363,0.0,0.6805252,1.0,0.46627316,0.36430672,0.0026928426,0.008201802,-0.0014080581,2.095551,0.31947485,0.6805252
319488,7048.076280622237,4.0,221.23604,500.0,206.65923,0.0,0.6885475,1.0,0.46308732,0.3714684,-0.0024685694,0.006685161,-0.0058111497,2.0870206,0.3114525,0.6885475
327680,7053.367334818877,4.0,215.30536,500.0,204.83015,0.0,0.70257765,1.0,0.45712394,0.37939274,0.00018446351,0.009091612,-0.004361343,2.0729723,0.29742235,0.70257765
335872,7058.090699621108,4.0,208.77777,500.0,203.01033,0.0,0.7168864,1.0,0.45051113,0.38919783,-0.0007618757,0.0063168504,-0.003920301,2.0662105,0.28311363,0.7168864
344064,7082.569113909439,4.0,203.425,500.0,201.75685,0.0,0.7267857,1.0,0.44561,0.39832157,-0.0003458747,0.006767484,-0.0037296163,2.0652318,0.27321428,0.7267857
352256,7053.562808801008,4.0,199.61469,500.0,200.34052,0.0,0.7347752,1.0,0.44145286,0.4037435,-0.0008502872,0.005986311,-0.0038434425,2.0592647,0.2652248,0.7347752
360448,7090.558088126651,4.0,194.71878,500.0,198.44289,0.0,0.7448426,1.0,0.43594968,0.41057694,-0.0015002552,0.006472963,-0.004736737,2.0524607,0.25515744,0.7448426
368640,7108.4294839873955,4.0,187.6047,500.0,196.094,0.0,0.7583205,1.0,0.42810103,0.4229173,-0.002817186,0.0070036496,-0.0063190106,2.0468283,0.24167947,0.7583205
376832,7067.022948254436,4.0,180.76624,500.0,193.34299,0.0,0.7720058,1.0,0.4195389,0.433811,0.0011838146,0.0066043264,-0.002118349,2.0438282,0.22799423,0.7720058
