timestep,fps,ep_len_min,ep_len_mean,ep_len_max,ep_len_std,return_min,return_mean,return_max,return_std,disc_return_mean,total_loss,value_loss,actor_loss,entropy,prob_fail,prob_success
8192,208.66025709216322,7.0,150.45714,500.0,148.06105,0.0,0.6,1.0,0.48989794,0.30038306,-0.006293483,0.010528497,-0.011557733,2.1748648,0.4,0.6
16384,2474.9956451702246,4.0,228.07143,500.0,194.85506,0.0,0.4642857,1.0,0.49872282,0.22233462,-0.005463719,0.0049403077,-0.007933874,2.1687558,0.53571427,0.4642857
24576,2483.370532473822,4.0,274.31168,500.0,207.27109,0.0,0.38961038,1.0,0.48766193,0.2022715,-0.003595776,0.00362379,-0.0054076705,2.1568975,0.6103896,0.38961038
32768,2490.441399163246,4.0,291.099,500.0,212.40724,0.0,0.33663365,1.0,0.47255835,0.18531013,-0.0016065092,0.0028535284,-0.0030332734,2.1437924,0.6633663,0.33663365
40960,2480.6202498846856,4.0,300.216,500.0,216.35794,0.0,0.304,1.0,0.45998263,0.177548,-0.0027519288,0.0023163876,-0.0039101224,2.1349957,0.696,0.304
49152,2500.248016013352,4.0,315.5,500.0,216.37006,0.0,0.2739726,1.0,0.44599506,0.164372,-0.0020723024,0.0016570691,-0.0029008368,2.1397693,0.72602737,0.2739726
57344,2483.597065834689,4.0,316.53802,500.0,218.38739,0.0,0.26900584,1.0,0.443443,0.16509667,-0.0015806464,0.0021665497,-0.002663921,2.148329,0.73099416,0.26900584
65536,2484.0310410815305,4.0,326.08334,500.0,216.75606,0.0,0.26041666,1.0,0.43886197,0.16039105,-0.0036095935,0.0017336613,-0.0044764243,2.1503205,0.7395833,0.26041666
73728,2481.034732801139,3.0,324.52777,500.0,218.59901,0.0,0.25925925,1.0,0.43822813,0.16813982,-0.0022186593,0.0016566068,-0.0030469627,2.1510372,0.7407407,0.25925925
81920,2503.8091832200366,3.0,325.94168,500.0,219.6261,0.0,0.25416666,1.0,0.43539175,0.16951266,-0.0038267146,0.0014386155,-0.0045460225,2.1497989,0.74583334,0.25416666
90112,2485.876184915001,3.0,329.48856,500.0,219.57755,0.0,0.2519084,1.0,0.43410888,0.17146693,-0.0034067945,0.0016856084,-0.004249599,2.1438062,0.7480916,0.2519084
98304,2479.1586646930414,3.0,326.6414,500.0,220.91142,0.0,0.2551724,1.0,0.43595812,0.1765681,-0.0050900164,0.0026866375,-0.006433335,2.1383178,0.74482757,0.2551724
106496,2486.481525721313,3.0,327.04114,500.0,220.97437,0.0,0.24683544,1.0,0.43117014,0.16829954,-0.004807618,0.0022974743,-0.0059563546,2.1245172,0.7531645,0.24683544
