timestep,fps,ep_len_min,ep_len_mean,ep_len_max,ep_len_std,return_min,return_mean,return_max,return_std,disc_return_mean,total_loss,value_loss,actor_loss,entropy,prob_fail,prob_success
8192,261.60015461021857,18.0,170.39394,500.0,157.38025,0.0,0.6060606,1.0,0.48862168,0.29122624,0.001387312,0.0110685285,-0.004146952,2.176565,0.3939394,0.6060606
16384,2571.996298872138,6.0,202.62712,500.0,184.14877,0.0,0.5423729,1.0,0.4982013,0.26182604,-0.0021872185,0.0059456183,-0.0051600276,2.1721578,0.45762712,0.5423729
24576,2564.073855441251,6.0,242.04878,500.0,194.01082,0.0,0.5,1.0,0.5,0.21470787,-0.00034591937,0.0042246785,-0.0024582585,2.167421,0.5,0.5
32768,2568.3452157329234,6.0,250.83333,500.0,201.57903,0.0,0.47368422,1.0,0.49930698,0.2166329,-0.004253098,0.004085832,-0.0062960144,2.1550455,0.5263158,0.47368422
40960,2546.6058634934748,6.0,262.35,500.0,203.2665,0.0,0.4642857,1.0,0.49872285,0.20873481,-0.00046741473,0.0044691963,-0.002702013,2.1476247,0.53571427,0.4642857
49152,2551.510371827547,6.0,255.33333,500.0,204.1164,0.0,0.4611111,1.0,0.4984854,0.2150093,-0.0017628433,0.0051541417,-0.0043399143,2.145164,0.5388889,0.4611111
57344,2552.683173351092,6.0,251.45497,500.0,206.32849,0.0,0.46919432,1.0,0.49905017,0.22864583,-0.0010910371,0.004462195,-0.003322135,2.1344304,0.5308057,0.46919432
65536,2556.3938656198566,6.0,256.5875,500.0,207.75801,0.0,0.45416668,1.0,0.49789488,0.22069098,-0.0038811313,0.0028819,-0.005322081,2.1237996,0.54583335,0.45416668
73728,2559.8742737530724,6.0,253.97803,500.0,209.40683,0.0,0.45054945,1.0,0.4975486,0.22872823,-0.0018964371,0.0031040434,-0.0034484589,2.1137242,0.5494506,0.45054945
81920,2570.275492692874,6.0,254.9164,500.0,208.5574,0.0,0.4533762,1.0,0.49782148,0.22396547,-0.0029732175,0.004269624,-0.0051080296,2.1043527,0.54662377,0.4533762
90112,2563.7147560591166,5.0,242.57617,500.0,209.7349,0.0,0.4875346,1.0,0.49984455,0.25671786,-0.0013776965,0.006141319,-0.004448356,2.104724,0.51246536,0.4875346
98304,2537.8803963791647,5.0,243.38875,500.0,209.70952,0.0,0.4910486,1.0,0.49991986,0.25745815,-0.0052267825,0.003573403,-0.007013484,2.1042418,0.5089514,0.4910486
106496,2564.483202171259,5.0,242.92671,500.0,210.68037,0.0,0.49408984,1.0,0.4999651,0.2633258,-0.0027221437,0.0035938714,-0.0045190793,2.1018848,0.50591016,0.49408984
114688,2566.6371507122735,5.0,241.00645,500.0,211.25401,0.0,0.49892473,1.0,0.49999887,0.27036095,-0.0025550658,0.004271156,-0.0046906443,2.1060812,0.50107527,0.49892473
122880,2550.5080803695264,5.0,240.52917,500.0,212.1444,0.0,0.5030181,1.0,0.49999088,0.27693716,-0.002224499,0.0035507765,-0.0039998875,2.1029425,0.4969819,0.5030181
131072,2560.3637449136972,4.0,240.10695,500.0,212.59608,0.0,0.4990619,1.0,0.49999908,0.27739227,-0.004306924,0.0024807751,-0.005547311,2.1045394,0.50093806,0.4990619
139264,2564.4152557299744,4.0,237.07143,500.0,212.7013,0.0,0.5,1.0,0.5,0.27993885,-0.0022363232,0.0044174846,-0.0044450653,2.1027238,0.5,0.5
147456,2554.7480024521606,4.0,234.62746,500.0,213.38675,0.0,0.503268,1.0,0.49998933,0.2879586,-0.003300455,0.003291511,-0.004946211,2.101968,0.49673203,0.503268
155648,2548.0730620277345,4.0,235.23639,500.0,213.63147,0.0,0.5023328,1.0,0.49999455,0.28988898,-0.0030725137,0.003265078,-0.0047050524,2.0990157,0.4976672,0.5023328
163840,2577.3722670532056,3.0,232.73044,500.0,213.83292,0.0,0.51014495,1.0,0.49989706,0.29838637,-0.0022311811,0.004847367,-0.0046548643,2.0960214,0.48985508,0.51014495
