timestep,fps,ep_len_min,ep_len_mean,ep_len_max,ep_len_std,return_min,return_mean,return_max,return_std,disc_return_mean,total_loss,value_loss,actor_loss,entropy,prob_fail,prob_success
8192,356.47231160639836,12.0,163.05556,500.0,132.3073,0.0,0.33333334,1.0,0.4714045,0.121359415,0.006459458,0.018626235,-0.0028536606,2.172951,0.6666667,0.33333334
16384,7211.749441431481,8.0,181.82895,500.0,150.50462,0.0,0.27631578,1.0,0.44717488,0.08295765,0.003672071,0.015277954,-0.0039669056,2.1678114,0.7236842,0.27631578
24576,7215.0840855577735,8.0,185.11208,500.0,154.8999,0.0,0.2413793,1.0,0.4279198,0.068664424,0.0011345282,0.009458951,-0.0035949473,2.160625,0.7586207,0.2413793
32768,7216.848059197088,8.0,195.78378,500.0,163.56541,0.0,0.2837838,1.0,0.4508332,0.08897366,-0.0022400871,0.0056422157,-0.0050611948,2.142018,0.7162162,0.2837838
40960,7215.218929384392,8.0,204.60527,500.0,174.28958,0.0,0.26842105,1.0,0.4431379,0.09756289,-7.286813e-05,0.0054893172,-0.002817527,2.128772,0.73157895,0.26842105
49152,7222.91336789399,8.0,210.41441,500.0,179.94704,0.0,0.26126125,1.0,0.439322,0.09960214,-0.00042302534,0.0033494674,-0.0020977594,2.125595,0.7387387,0.26126125
57344,7220.609231564557,8.0,213.18823,500.0,182.09792,0.0,0.2627451,1.0,0.4401251,0.10478593,-0.0021349122,0.0026390553,-0.0034544403,2.1173806,0.7372549,0.2627451
65536,7223.004470687012,8.0,213.97952,500.0,185.21469,0.0,0.25255972,1.0,0.4344805,0.10633781,-0.0035110614,0.0032316179,-0.0051268702,2.1111758,0.7474403,0.25255972
73728,7207.50760517409,6.0,220.54347,500.0,189.59094,0.0,0.26086956,1.0,0.4391089,0.11676796,-0.003667038,0.0031697766,-0.0052519264,2.1048372,0.73913044,0.26086956
81920,7271.106710228743,6.0,222.95157,500.0,190.88747,0.0,0.25925925,1.0,0.43822813,0.11740105,-0.004259833,0.0026340021,-0.005576834,2.0929055,0.7407407,0.25925925
90112,7213.348232075921,6.0,226.22751,500.0,192.9503,0.0,0.26455027,1.0,0.44109342,0.11888718,-0.0037827063,0.0022632305,-0.0049143215,2.0900307,0.73544973,0.26455027
98304,7215.547727032659,3.0,229.74039,500.0,195.96506,0.0,0.26682693,1.0,0.44230115,0.12491839,-0.0019775387,0.002811844,-0.0033834605,2.095356,0.7331731,0.26682693
106496,7249.853539183478,3.0,227.07048,500.0,195.6796,0.0,0.26872247,1.0,0.44329527,0.12749124,-0.003483525,0.0024687748,-0.0047179116,2.094631,0.7312775,0.26872247
114688,7226.428564548209,3.0,230.98132,500.0,196.63113,0.0,0.26970956,1.0,0.44380885,0.12714274,-0.0024019622,0.0025767293,-0.003690327,2.0794048,0.7302905,0.26970956
122880,7224.921198765698,3.0,229.50858,500.0,198.32176,0.0,0.2704762,1.0,0.4442058,0.13146687,-0.0032702931,0.0036421125,-0.005091349,2.0694463,0.72952384,0.2704762
131072,7227.8803023616165,3.0,227.87679,500.0,199.27718,0.0,0.27321428,1.0,0.44560996,0.1362621,-0.0018074213,0.002290511,-0.0029526767,2.064949,0.7267857,0.27321428
139264,7201.226642310296,3.0,227.77538,500.0,200.10457,0.0,0.2778702,1.0,0.44794908,0.1415388,-0.0018254656,0.0034921658,-0.0035715483,2.0527294,0.72212976,0.2778702
147456,7220.915757793174,3.0,224.71562,500.0,199.56694,0.0,0.284375,1.0,0.45111623,0.1471915,-0.0028984593,0.00452518,-0.0051610493,2.0509386,0.715625,0.284375
155648,7213.8479995381085,3.0,218.93965,500.0,199.35013,0.0,0.29454023,1.0,0.45583576,0.15810584,-0.0024190298,0.0053497804,-0.0050939205,2.053306,0.7054598,0.29454023
163840,7221.208651225156,3.0,215.83018,500.0,200.00487,0.0,0.3032345,1.0,0.45965567,0.16598453,-0.0016049062,0.0031758256,-0.0031928192,2.0538163,0.6967655,0.3032345
172032,7222.681066173379,3.0,214.30995,500.0,200.59413,0.0,0.3010204,1.0,0.45870158,0.16828702,-0.0027575807,0.0021786427,-0.003846902,2.0498743,0.6989796,0.3010204
180224,7224.92727559081,3.0,210.27725,500.0,200.92334,0.0,0.30805686,1.0,0.4616902,0.17689559,-0.0029147672,0.004424427,-0.005126981,2.042727,0.6919431,0.30805686
188416,7203.092566943046,3.0,209.39342,500.0,201.16519,0.0,0.31292516,1.0,0.46368417,0.18090104,-0.004390276,0.0026204612,-0.0057005063,2.0335197,0.68707484,0.31292516
196608,7222.186146328995,3.0,206.53098,500.0,201.16324,0.0,0.32478634,1.0,0.46829498,0.19057438,-0.001918358,0.0048487238,-0.004342721,2.035058,0.6752137,0.32478634
204800,7209.877516761624,3.0,207.06462,500.0,201.45049,0.0,0.32615384,1.0,0.46880436,0.19116661,-0.005494911,0.0030289134,-0.007009369,2.034908,0.6738461,0.32615384
212992,7274.271634295276,3.0,206.68762,500.0,201.7776,0.0,0.327112,1.0,0.46915856,0.19304185,-0.002103209,0.0045262584,-0.0043663383,2.0322177,0.67288804,0.327112
221184,7221.864333008669,3.0,204.53427,500.0,201.2345,0.0,0.3370892,1.0,0.47271562,0.20067291,-0.0017355632,0.004620121,-0.0040456234,2.032365,0.6629108,0.3370892
229376,7218.932902491139,3.0,202.93088,500.0,200.84445,0.0,0.33752245,1.0,0.47286472,0.20238625,-0.0036519996,0.003974064,-0.0056390315,2.0186334,0.66247755,0.33752245
237568,7204.290226915903,3.0,203.91959,500.0,201.12361,0.0,0.33653846,1.0,0.47252548,0.2020318,-0.00436444,0.0021772792,-0.00545308,2.006483,0.66346157,0.33653846
245760,7220.765526340233,3.0,202.49834,500.0,201.62762,0.0,0.34390652,1.0,0.47501034,0.20970811,-0.0027007954,0.0035062176,-0.004453905,2.0067935,0.6560935,0.34390652
253952,7205.001762051537,3.0,202.37439,500.0,201.48499,0.0,0.34683955,1.0,0.47596416,0.21074614,-0.0050446414,0.0033530872,-0.0067211855,2.003656,0.65316045,0.34683955
