timestep,fps,ep_len_min,ep_len_mean,ep_len_max,ep_len_std,return_min,return_mean,return_max,return_std,disc_return_mean,total_loss,value_loss,actor_loss,entropy,prob_fail,prob_success
65536,1020.2453128310369,1.0,40.839973,100.0,34.581646,-1.0,0.28920308,1.0,0.8781329,0.20190126,0.009551647,0.052514475,-0.00063278957,1.6072799,0.42802057,0.57197946
131072,6044.16112491209,1.0,41.545074,100.0,34.86117,-1.0,0.26690277,1.0,0.8793506,0.18353723,0.002233038,0.042490046,-0.00309804,1.5913945,0.44430137,0.55569863
196608,6022.832619785397,1.0,41.71815,100.0,34.98867,-1.0,0.2781955,1.0,0.8736182,0.19124652,-0.001843679,0.03733622,-0.0048151254,1.5696666,0.4406015,0.5593985
262144,6021.263426213037,1.0,41.6359,100.0,34.744926,-1.0,0.29451287,1.0,0.8692108,0.2052544,-0.0044157715,0.0347201,-0.0064719133,1.5303906,0.43161094,0.56838906
327680,6007.341105054964,1.0,41.18834,100.0,34.342503,-1.0,0.30419934,1.0,0.8702435,0.21265587,-0.0046001286,0.03581967,-0.0073836697,1.5126293,0.4229699,0.5770301
393216,6000.820817243444,1.0,40.97852,100.0,34.17374,-1.0,0.30898994,1.0,0.8701166,0.21835184,-0.0068159997,0.034197368,-0.0090661645,1.484852,0.41921628,0.5807837
458752,5997.375712376517,1.0,40.423782,100.0,34.04005,-1.0,0.31646466,1.0,0.8693776,0.22618458,-0.0046872613,0.038153827,-0.009165711,1.459846,0.41378394,0.58621603
524288,5983.860627928319,1.0,40.081356,100.0,33.90925,-1.0,0.31828997,1.0,0.8705909,0.22901496,-0.008065069,0.0339875,-0.010589369,1.4469448,0.41123646,0.58876354
589824,5987.921484088712,1.0,39.968037,100.0,33.79793,-1.0,0.32378945,1.0,0.86953014,0.2336098,-0.009467988,0.033113126,-0.011736477,1.4288077,0.40764418,0.59235585
655360,5988.451249707661,1.0,39.849743,100.0,33.695545,-1.0,0.3282089,1.0,0.8689171,0.23805963,-0.010450548,0.03234096,-0.012552542,1.4068481,0.4045266,0.5954734
720896,5975.757625529584,1.0,39.711605,100.0,33.650494,-1.0,0.3320263,1.0,0.8683057,0.24196379,-0.011259129,0.031654183,-0.013245272,1.3840946,0.40188876,0.5981112
786432,5983.451888646956,1.0,39.480118,100.0,33.561714,-1.0,0.33788002,1.0,0.8670074,0.2477235,-0.009798508,0.032778416,-0.012916638,1.3271081,0.39812765,0.6018724
