timestep,fps,ep_len_min,ep_len_mean,ep_len_max,ep_len_std,return_min,return_mean,return_max,return_std,disc_return_mean,total_loss,value_loss,actor_loss,entropy,prob_fail,prob_success
2048,47.81749010551736,2.0,32.226414,100.0,31.091854,0.0,0.5849057,1.0,0.49273828,0.44632402,-0.0056076953,0.037944127,-0.00853712,1.6042635,0.41509435,0.5849057
4096,1967.4388885695053,2.0,34.813725,100.0,32.0489,0.0,0.5882353,1.0,0.49215296,0.4446731,-0.018853918,0.02559787,-0.015834061,1.5818789,0.4117647,0.5882353
6144,1943.0755052317536,1.0,31.326086,100.0,31.328938,0.0,0.58152175,1.0,0.49330947,0.45195132,-0.024098778,0.025759578,-0.021324342,1.5654227,0.41847825,0.58152175
8192,1944.0724332051004,1.0,30.916996,100.0,31.357512,0.0,0.56916994,1.0,0.4951924,0.4441881,-0.030285567,0.019855646,-0.024684217,1.5529172,0.43083003,0.56916994
10240,1948.5825693765328,1.0,30.085365,100.0,30.949587,0.0,0.5884146,1.0,0.49212077,0.46840334,-0.029399807,0.023050208,-0.025566077,1.535883,0.41158536,0.5884146
12288,1933.202634936996,1.0,31.301332,100.0,31.6567,0.0,0.58133334,1.0,0.49334052,0.45974943,-0.039119214,0.010670265,-0.029213155,1.5241193,0.41866666,0.58133334
14336,1923.7655818920098,1.0,30.786345,100.0,31.279972,0.0,0.592511,1.0,0.4913672,0.4686314,-0.036310676,0.020494036,-0.03146782,1.5089873,0.40748897,0.592511
16384,1920.132732029913,1.0,30.861004,100.0,31.03224,0.0,0.5888031,1.0,0.49205083,0.46586072,-0.04027581,0.0135702435,-0.032252587,1.4808334,0.41119692,0.5888031
18432,1913.97957529829,1.0,30.191275,100.0,30.64136,0.0,0.602349,1.0,0.4894126,0.47870886,-0.04060157,0.017720152,-0.034842297,1.4619348,0.39765102,0.602349
20480,1875.80515935512,1.0,30.354546,100.0,30.678959,0.0,0.5969697,1.0,0.49050677,0.47282025,-0.049312208,0.014083686,-0.04190473,1.4449321,0.4030303,0.5969697
22528,1865.2519145034971,1.0,30.871832,100.0,30.994848,0.0,0.6014084,1.0,0.48960835,0.475199,-0.04537967,0.013004142,-0.03760047,1.4281266,0.39859155,0.6014084
24576,1859.9671378763646,1.0,30.16771,100.0,30.92608,0.0,0.5982478,1.0,0.49025235,0.47743097,-0.043623623,0.015439689,-0.037275564,1.40679,0.4017522,0.5982478
26624,1857.0807834130076,1.0,29.886234,100.0,30.78892,0.0,0.6029579,1.0,0.48928484,0.48313624,-0.039751597,0.018953873,-0.035594057,1.3634478,0.3970421,0.6029579
28672,1842.0730088357989,1.0,29.171162,100.0,30.711088,0.0,0.59647304,1.0,0.4906047,0.48123035,-0.048776083,0.015436641,-0.042615812,1.3878587,0.40352696,0.59647304
30720,1845.0614678638965,1.0,29.389864,100.0,30.9867,0.0,0.6013645,1.0,0.48961744,0.48532474,-0.049316835,0.014861544,-0.04297162,1.3775988,0.39863548,0.6013645
32768,1835.7044001891709,1.0,29.368853,100.0,31.065794,0.0,0.5938069,1.0,0.49112144,0.47834054,-0.04735463,0.015971377,-0.04184458,1.3495743,0.40619308,0.5938069
34816,1827.413148710015,1.0,29.059122,100.0,30.856714,0.0,0.6021959,1.0,0.48944455,0.48655367,-0.041802786,0.01895558,-0.038246106,1.3034476,0.39780405,0.6021959
36864,1807.3042562023725,1.0,28.857595,100.0,30.799837,0.0,0.60126585,1.0,0.48963788,0.48686856,-0.042950183,0.014330859,-0.037210084,1.2905524,0.39873418,0.60126585
38912,1809.0718784058565,1.0,28.156776,100.0,30.525728,0.0,0.5956044,1.0,0.49077472,0.48591793,-0.03938855,0.015581207,-0.034213834,1.296532,0.4043956,0.5956044
40960,1803.900569251514,1.0,27.913853,100.0,30.485958,0.0,0.60165405,1.0,0.48955742,0.49182525,-0.040738203,0.017139575,-0.036437966,1.2870017,0.39834598,0.60165405
43008,1788.910791191911,1.0,27.790365,100.0,30.651503,0.0,0.60286456,1.0,0.48930448,0.49463353,-0.03974049,0.018338447,-0.036198374,1.2711347,0.3971354,0.60286456
45056,1780.9473244017142,1.0,27.567284,100.0,30.616905,0.0,0.60493827,1.0,0.48886397,0.49818248,-0.038883828,0.019351369,-0.036390983,1.2168528,0.39506173,0.60493827
47104,1778.137394555546,1.0,27.497051,100.0,30.611225,0.0,0.6055425,1.0,0.48873386,0.4995046,-0.03670463,0.017985508,-0.033073243,1.2624135,0.39445755,0.6055425
49152,1757.5446795198245,1.0,27.277933,100.0,30.492895,0.0,0.60752386,1.0,0.48830178,0.5023852,-0.04724741,0.014253492,-0.04189756,1.2476594,0.39247614,0.60752386
51200,1745.6009286098652,1.0,27.479088,100.0,30.639584,0.0,0.6099946,1.0,0.48775116,0.50383145,-0.046151944,0.0099973595,-0.03852846,1.262216,0.39000544,0.6099946
53248,1750.173662151157,1.0,27.410603,100.0,30.622015,0.0,0.6112266,1.0,0.48747167,0.5061929,-0.04327519,0.013005653,-0.037341606,1.2436415,0.38877338,0.6112266
55296,1741.7492551379967,1.0,27.052996,100.0,30.506144,0.0,0.6141654,1.0,0.4867918,0.51007855,-0.044650063,0.014230638,-0.039688554,1.2076826,0.38583457,0.6141654
