timestep,fps,ep_len_min,ep_len_mean,ep_len_max,ep_len_std,return_min,return_mean,return_max,return_std,disc_return_mean,total_loss,value_loss,actor_loss,entropy,prob_fail,prob_success
2048,56.908953170186734,2.0,31.27451,100.0,31.325666,0.0,0.5686275,1.0,0.49526787,0.44750884,-0.0067119338,0.033702336,-0.0075244005,1.6038703,0.43137255,0.5686275
4096,2118.8578780673106,1.0,32.09009,100.0,31.552486,0.0,0.5405405,1.0,0.4983538,0.42431325,-0.020683806,0.024142649,-0.016790558,1.5964565,0.45945945,0.5405405
6144,2111.207819639052,1.0,34.73494,100.0,33.12284,0.0,0.53614455,1.0,0.4986919,0.41413,-0.030120809,0.018607866,-0.0236418,1.5782938,0.46385542,0.53614455
8192,2120.4306634875597,1.0,33.746723,100.0,31.415327,0.0,0.5414847,1.0,0.49827605,0.41528007,-0.033685163,0.019335462,-0.027723301,1.5629591,0.4585153,0.5414847
10240,2115.9360987358973,1.0,35.353573,100.0,32.481754,0.0,0.53571427,1.0,0.49872288,0.40856296,-0.03459769,0.01865573,-0.028493226,1.5432335,0.4642857,0.53571427
12288,2106.4102283547536,1.0,35.248486,100.0,32.595856,0.0,0.55757576,1.0,0.496674,0.42951888,-0.038474187,0.014760697,-0.030649414,1.5205122,0.44242424,0.55757576
14336,2099.302042008356,1.0,34.346634,100.0,32.292107,0.0,0.5785536,1.0,0.49379078,0.45216823,-0.034561176,0.021532195,-0.030423015,1.4904251,0.42144638,0.5785536
16384,2092.126503742597,1.0,34.28846,100.0,32.27268,0.0,0.59615386,1.0,0.4906673,0.46466506,-0.04411036,0.017880555,-0.03834252,1.4708112,0.40384614,0.59615386
18432,2074.4755912783457,1.0,33.986794,100.0,31.804798,0.0,0.6037736,1.0,0.4891125,0.4705663,-0.042453863,0.015893374,-0.035667915,1.4732627,0.3962264,0.6037736
20480,2097.700495417625,1.0,33.710926,100.0,31.62507,0.0,0.6016807,1.0,0.4895519,0.46817222,-0.03970025,0.01867709,-0.034400187,1.4638616,0.39831933,0.6016807
22528,2086.7675801790065,1.0,34.0711,100.0,31.768742,0.0,0.60123646,1.0,0.4896439,0.46844634,-0.0436262,0.015950147,-0.03707939,1.4521885,0.39876354,0.60123646
24576,2080.984740136566,1.0,33.461964,100.0,31.677963,0.0,0.6071923,1.0,0.48837468,0.47552672,-0.039703812,0.019556057,-0.035324357,1.4157485,0.39280775,0.6071923
26624,2068.309285623648,1.0,32.29419,100.0,31.052847,0.0,0.6192831,1.0,0.48556313,0.48870093,-0.044637773,0.019225053,-0.04031994,1.3930364,0.38071692,0.6192831
28672,2051.608397280392,1.0,31.48272,100.0,30.79844,0.0,0.6298774,1.0,0.48283732,0.5010516,-0.03992404,0.021584613,-0.037221335,1.349501,0.37012264,0.6298774
30720,2053.268891592075,1.0,30.76626,100.0,30.469067,0.0,0.6392276,1.0,0.48022464,0.51115745,-0.03508457,0.018344043,-0.030879948,1.3376642,0.36077237,0.6392276
32768,2025.7497611648787,1.0,30.004642,100.0,30.08754,0.0,0.64809656,1.0,0.47756407,0.5218063,-0.0363105,0.0196392,-0.03273998,1.3390123,0.35190344,0.64809656
34816,2017.621460327482,1.0,29.389555,100.0,29.659248,0.0,0.6558219,1.0,0.47509947,0.5295656,-0.04062816,0.019005463,-0.037157025,1.2973871,0.34417808,0.6558219
36864,2009.741492867937,1.0,29.214113,100.0,29.701021,0.0,0.66158783,1.0,0.4731695,0.53555226,-0.036309034,0.018665997,-0.03284804,1.2794001,0.3384122,0.66158783
38912,2008.4600516825833,1.0,28.417646,100.0,29.355238,0.0,0.66544116,1.0,0.47183603,0.5423697,-0.039087195,0.024579903,-0.03860424,1.2772909,0.3345588,0.66544116
40960,1991.3507933703972,1.0,28.074793,100.0,29.020315,0.0,0.66897506,1.0,0.47058198,0.5466292,-0.042547222,0.020165881,-0.040275823,1.2354344,0.33102494,0.66897506
43008,1987.1058270297956,1.0,27.700844,100.0,28.893898,0.0,0.6774821,1.0,0.46743992,0.5552388,-0.035716172,0.017137764,-0.032434594,1.1850467,0.32251784,0.6774821
45056,1974.6726402309855,1.0,26.989754,100.0,28.437391,0.0,0.6883665,1.0,0.46316096,0.56663144,-0.039383877,0.01865898,-0.03684016,1.1873206,0.31163353,0.6883665
47104,1967.5163986525502,1.0,26.491478,100.0,28.121185,0.0,0.6948864,1.0,0.46045554,0.57426333,-0.036539003,0.018783137,-0.0344562,1.147437,0.30511364,0.6948864
49152,1947.1448364907242,1.0,26.16497,100.0,27.970251,0.0,0.6989823,1.0,0.4587004,0.57941926,-0.035144124,0.019543957,-0.03337217,1.1543934,0.30101767,0.6989823
51200,1925.8923949315686,1.0,26.01386,100.0,27.858587,0.0,0.7007187,1.0,0.45794323,0.5818579,-0.033640876,0.01850663,-0.031560097,1.1334091,0.29928133,0.7007187
53248,1929.7469253550682,1.0,25.69629,100.0,27.668932,0.0,0.7089844,1.0,0.4542307,0.59037197,-0.033038523,0.014746323,-0.02933011,1.1081569,0.29101562,0.7089844
55296,1909.647973390109,1.0,24.496094,100.0,27.010902,0.0,0.7270508,1.0,0.44547495,0.6113341,-0.03501891,0.020345757,-0.03494886,1.0242937,0.27294922,0.7270508
57344,1903.0438503190337,1.0,23.953125,100.0,26.79885,0.0,0.7392578,1.0,0.43903953,0.6246557,-0.03371221,0.016943851,-0.031449903,1.0734228,0.2607422,0.7392578
