timestep,fps,ep_len_min,ep_len_mean,ep_len_max,ep_len_std,return_min,return_mean,return_max,return_std,disc_return_mean,total_loss,value_loss,actor_loss,entropy,prob_fail,prob_success
2048,78.10636391039515,1.0,18.210526,100.0,18.39273,-1.0,-0.14736842,1.0,0.98374593,-0.1148223,0.05602435,0.1580986,-0.0069844276,1.6040512,0.57894737,0.42105263
4096,6734.647076717544,1.0,20.11413,100.0,20.65064,-1.0,-0.24456522,1.0,0.9611886,-0.1937788,0.04156419,0.13106604,-0.0080079,1.596093,0.61290324,0.38709676
6144,6622.619302114012,1.0,21.645756,100.0,22.162766,-1.0,-0.2398524,1.0,0.96317744,-0.18803568,0.019335281,0.100570284,-0.015109759,1.5840107,0.62857145,0.37142858
8192,6450.173414120055,1.0,22.073034,100.0,22.50893,-1.0,-0.23876405,1.0,0.9638189,-0.1836211,0.009234102,0.093532644,-0.021732656,1.5799559,0.6267943,0.37320575
10240,6306.186858364461,1.0,22.494253,100.0,22.694204,-1.0,-0.21149425,1.0,0.96911204,-0.15982488,0.002269258,0.087329574,-0.02578976,1.5605756,0.61946905,0.38053098
12288,6194.890721007114,1.0,23.537254,100.0,23.534986,-1.0,-0.20588236,1.0,0.9695181,-0.15365598,0.0030430367,0.091434024,-0.027399685,1.5274297,0.61269844,0.3873016
14336,6076.21613102657,1.0,23.487478,100.0,23.504896,-1.0,-0.1736227,1.0,0.97544414,-0.1306613,0.0009799261,0.09476681,-0.031293083,1.5110385,0.60324615,0.39675382
16384,5930.2930456946715,1.0,23.72781,100.0,23.590187,-1.0,-0.16420119,1.0,0.97663057,-0.12342105,0.004155701,0.0963351,-0.029012645,1.4999208,0.5937255,0.4062745
18432,5812.787954783068,1.0,24.016129,100.0,23.700523,-1.0,-0.1626344,1.0,0.9764163,-0.12258805,-0.0063482104,0.07082992,-0.0268649,1.4898275,0.5915493,0.4084507
20480,5658.0400716119675,1.0,24.55868,100.0,24.240232,-1.0,-0.13814181,1.0,0.9786162,-0.10453218,-0.01023494,0.06914273,-0.030121094,1.4685211,0.5857875,0.41421255
22528,5606.915417176612,1.0,24.436323,100.0,24.037764,-1.0,-0.11184939,1.0,0.98251784,-0.08163223,-0.001966622,0.08994953,-0.032594904,1.434648,0.5735038,0.42649624
24576,5467.56613291188,1.0,24.460993,100.0,24.075935,-1.0,-0.079027355,1.0,0.986143,-0.055253547,0.0017104705,0.089230105,-0.028797263,1.4107319,0.5582011,0.44179896
26624,5373.306655507118,1.0,24.271389,100.0,24.003506,-1.0,-0.033118676,1.0,0.98880947,-0.01692751,0.0024034046,0.09403822,-0.030464489,1.4151229,0.53759766,0.46240234
28672,5245.562972272195,1.0,23.730705,100.0,23.701063,-1.0,-0.027684564,1.0,0.9899183,-0.0125305895,0.011943934,0.11988399,-0.03401067,1.3987397,0.515625,0.484375
30720,5167.132810159659,1.0,23.544117,100.0,23.78468,-1.0,-0.008513932,1.0,0.99024117,0.0036401483,0.010493106,0.11017308,-0.030780409,1.3813014,0.49414062,0.5058594
32768,5099.79986071919,1.0,23.451824,100.0,23.759918,-1.0,0.008759124,1.0,0.9896895,0.020389078,0.0019411385,0.0912059,-0.030081436,1.3580374,0.47607422,0.5239258
34816,5062.154533020055,1.0,23.094984,100.0,23.693705,-1.0,0.026755853,1.0,0.98921597,0.037675127,0.009153849,0.11561605,-0.03544318,1.3210995,0.45458984,0.54541016
36864,5051.562551346672,1.0,22.634388,100.0,23.433645,-1.0,0.05524519,1.0,0.9884759,0.06208464,0.0062306626,0.10956496,-0.03503436,1.3517464,0.43066406,0.56933594
38912,5016.585572563798,1.0,22.443083,100.0,23.302582,-1.0,0.07472271,1.0,0.987498,0.07934462,-0.0035745064,0.09358214,-0.037199017,1.3166548,0.40429688,0.5957031
40960,4983.456765427658,1.0,22.338081,100.0,23.311005,-1.0,0.101369865,1.0,0.9848848,0.10183669,-0.004763226,0.08759933,-0.035743173,1.2819718,0.37402344,0.62597656
43008,4947.127299366256,1.0,22.136553,100.0,23.2116,-1.0,0.12201454,1.0,0.9822746,0.120112054,-0.0015184123,0.090932876,-0.034390047,1.259481,0.3540039,0.6459961
45056,4924.989144874332,1.0,21.911362,100.0,23.011633,-1.0,0.1474045,1.0,0.9788736,0.14235137,0.0021325734,0.08468301,-0.028008752,1.2200185,0.33691406,0.66308594
47104,4847.579206604947,1.0,21.960938,100.0,23.176895,-1.0,0.18554688,1.0,0.9721443,0.17567362,-0.004984528,0.07938422,-0.032615986,1.2060647,0.32861328,0.6713867
49152,4792.7735093189185,1.0,21.57666,100.0,22.984137,-1.0,0.24804688,1.0,0.95810485,0.22930771,-0.0013787535,0.08034932,-0.029615093,1.193833,0.29736328,0.7026367
51200,4830.756118629427,1.0,21.24414,100.0,22.804384,-1.0,0.28466797,1.0,0.9476117,0.2607577,-0.0031622453,0.07895696,-0.030800171,1.1840553,0.2734375,0.7265625
53248,4805.286298228743,1.0,20.808105,100.0,22.495525,-1.0,0.33642578,1.0,0.9310199,0.30551293,-0.009269233,0.06222275,-0.029039215,1.1341387,0.25341797,0.74658203
55296,2882.7905463886145,1.0,20.283691,100.0,22.106874,-1.0,0.37451172,1.0,0.9168958,0.338852,-0.004360402,0.082303375,-0.03417554,1.1336542,0.23095703,0.76904297
57344,4777.502182706645,1.0,19.85498,100.0,21.749304,-1.0,0.42529297,1.0,0.8950192,0.38186032,-0.014793556,0.04888748,-0.028046437,1.1190861,0.2109375,0.7890625
59392,4800.457914640614,1.0,19.281738,100.0,21.412186,-1.0,0.46728516,1.0,0.87438816,0.4201609,-0.01135193,0.062047984,-0.030884933,1.1490991,0.1928711,0.8071289
