timestep,fps,ep_len_min,ep_len_mean,ep_len_max,ep_len_std,return_min,return_mean,return_max,return_std,disc_return_mean,total_loss,value_loss,actor_loss,entropy,prob_fail,prob_success
65536,1685.7046006606654,1.0,19.885078,100.0,20.917223,-1.0,-0.24374421,1.0,0.9637684,-0.21011241,0.05321921,0.14115758,-0.001318457,1.6041136,0.62774175,0.37225828
131072,15244.418726908312,1.0,20.842655,100.0,21.294989,-1.0,-0.23641916,1.0,0.9650954,-0.20545097,0.042528648,0.120728634,-0.0019367635,1.5898913,0.62564754,0.37435246
196608,14233.531683830091,1.0,21.907873,100.0,22.22828,-1.0,-0.23464566,1.0,0.96394676,-0.2027007,0.031838126,0.1011926,-0.0028553933,1.5902789,0.62493384,0.37506616
262144,14260.41173849169,1.0,22.543648,100.0,22.784576,-1.0,-0.24079517,1.0,0.9616297,-0.20690747,0.031406067,0.10328258,-0.004546047,1.5689172,0.6273705,0.37262952
327680,12457.809067847582,1.0,23.183905,100.0,23.362051,-1.0,-0.23871472,1.0,0.9606755,-0.20444173,0.025997488,0.09544469,-0.0060691396,1.5655723,0.6292468,0.3707532
393216,11978.626170978672,1.0,23.59695,100.0,23.75417,-1.0,-0.23806942,1.0,0.959608,-0.20267056,0.021292653,0.08932421,-0.007831037,1.5538424,0.62987965,0.37012035
458752,11385.799021305913,1.0,24.038805,100.0,24.134548,-1.0,-0.23493533,1.0,0.95915943,-0.19920224,0.016259255,0.08349514,-0.010162724,1.5325589,0.6300612,0.3699388
524288,10223.766620218992,1.0,24.48842,100.0,24.553892,-1.0,-0.2304519,1.0,0.9589625,-0.19439012,0.013984633,0.08032689,-0.011102397,1.507642,0.6293433,0.37065676
589824,10467.682818417641,1.0,24.878117,100.0,24.795937,-1.0,-0.23094502,1.0,0.95819634,-0.19374429,0.013731363,0.08259208,-0.0126213515,1.494332,0.6293232,0.37067682
655360,10059.846328675263,1.0,25.279066,100.0,25.14293,-1.0,-0.22677025,1.0,0.958124,-0.18928263,0.01413403,0.08138313,-0.011858661,1.4698876,0.6291792,0.3708208
720896,9061.731071632692,1.0,25.621504,100.0,25.352606,-1.0,-0.22469628,1.0,0.9578349,-0.18683267,0.012487088,0.08141656,-0.01362385,1.4597348,0.6285201,0.37147996
786432,8723.079036273948,1.0,25.893557,100.0,25.538439,-1.0,-0.22328176,1.0,0.9576104,-0.18479672,0.01113568,0.080837175,-0.014907791,1.4375123,0.62828904,0.371711
851968,8432.516634974441,1.0,26.183117,100.0,25.755098,-1.0,-0.21945736,1.0,0.95760506,-0.1808079,0.012408169,0.08039801,-0.013648009,1.4142832,0.62765616,0.3723438
917504,8685.47975488611,1.0,26.493591,100.0,25.988346,-1.0,-0.2147548,1.0,0.9576732,-0.17647415,0.010173488,0.07823309,-0.015092587,1.3850467,0.6266327,0.3733673
983040,7772.286417608344,1.0,26.888792,100.0,26.32119,-1.0,-0.21063305,1.0,0.95725405,-0.17231843,0.005401691,0.06899662,-0.01555209,1.3544534,0.62538147,0.37461853
1048576,7655.340056537657,1.0,27.159853,100.0,26.531416,-1.0,-0.20605479,1.0,0.9574358,-0.16805357,0.0075821276,0.07418767,-0.015815876,1.3695827,0.62394714,0.37605286
1114112,7513.095113015298,1.0,27.476398,100.0,26.811392,-1.0,-0.20025207,1.0,0.95745754,-0.16254546,0.0052782386,0.06784935,-0.015214949,1.3431493,0.62171936,0.37828064
1179648,7412.270506033423,1.0,27.814938,100.0,27.11677,-1.0,-0.19477053,1.0,0.9572176,-0.15756944,0.0034790488,0.066302806,-0.016503675,1.3168682,0.61987305,0.38012695
1245184,7278.843004265761,1.0,28.113533,100.0,27.371502,-1.0,-0.18850642,1.0,0.95726717,-0.15164042,0.0031133122,0.06444156,-0.01608399,1.302348,0.6164551,0.38354492
1310720,7718.054875428613,1.0,28.45033,100.0,27.68457,-1.0,-0.18375911,1.0,0.9566863,-0.14715351,0.001671303,0.06071826,-0.015905688,1.278214,0.6137543,0.38624573
1376256,7133.283170843251,1.0,28.72861,100.0,27.948114,-1.0,-0.17737956,1.0,0.9564398,-0.14154704,0.0005962688,0.05989216,-0.01652895,1.2820863,0.6108093,0.38919067
1441792,7035.646950656801,1.0,29.025202,100.0,28.233686,-1.0,-0.17113248,1.0,0.9560539,-0.13589264,-0.00017044827,0.057325996,-0.016192824,1.264062,0.60717773,0.39282227
1507328,6940.360542558131,1.0,29.295818,100.0,28.510368,-1.0,-0.16334195,1.0,0.9557893,-0.12917878,0.0007288799,0.05663914,-0.015303256,1.2287433,0.6032562,0.39674377
1572864,6847.148158862121,1.0,29.58205,100.0,28.794415,-1.0,-0.157753,1.0,0.95516914,-0.12413293,-0.0024062358,0.05557428,-0.01769374,1.249963,0.59976196,0.40023804
1638400,6741.566452564057,1.0,29.810556,100.0,29.058203,-1.0,-0.14930214,1.0,0.95491284,-0.11691741,-0.0017444196,0.052551202,-0.015668675,1.2351344,0.5957947,0.40420532
1703936,6671.307435351073,1.0,30.049288,100.0,29.30348,-1.0,-0.14240557,1.0,0.9544857,-0.111073785,-0.0037035863,0.051883887,-0.017109139,1.2536392,0.5904541,0.4095459
