timestep,fps,ep_len_min,ep_len_mean,ep_len_max,ep_len_std,return_min,return_mean,return_max,return_std,disc_return_mean,total_loss,value_loss,actor_loss,entropy,prob_fail,prob_success
65536,1679.004433581544,1.0,19.885078,100.0,20.917223,-1.0,-0.24374421,1.0,0.9637684,-0.21011241,-0.0109777395,0.1411363,-0.0013069317,1.6047794,0.62774175,0.37225828
131072,15308.255123192072,1.0,21.109846,100.0,21.644178,-1.0,-0.24296176,1.0,0.9631331,-0.21042001,-0.023021717,0.117199525,-0.002006119,1.592307,0.6280111,0.37198892
196608,14199.309077269822,1.0,22.398048,100.0,22.678373,-1.0,-0.25588065,1.0,0.9577049,-0.21865836,-0.03381337,0.09805103,-0.0034796263,1.5871854,0.63310903,0.366891
262144,14335.28984536095,1.0,23.462696,100.0,23.628746,-1.0,-0.25860515,1.0,0.9550071,-0.21765974,-0.037187193,0.09369551,-0.004454892,1.5916008,0.6384192,0.3615808
327680,12549.096497160202,1.0,24.042604,100.0,24.232956,-1.0,-0.2504615,1.0,0.95503396,-0.21113838,-0.042569574,0.085310504,-0.005766691,1.5891626,0.6387322,0.3612678
393216,11991.697315528529,1.0,24.592003,100.0,24.815365,-1.0,-0.24496202,1.0,0.95442504,-0.20619121,-0.043302484,0.08664009,-0.007719858,1.5780535,0.63738465,0.36261538
458752,11440.483786316207,1.0,25.151505,100.0,25.255072,-1.0,-0.24181388,1.0,0.9537044,-0.20292583,-0.04867322,0.08052291,-0.010528607,1.568121,0.63695014,0.36304986
524288,10978.561485325048,1.0,25.564999,100.0,25.624844,-1.0,-0.23704682,1.0,0.953555,-0.19838288,-0.04789502,0.07890395,-0.009076814,1.5654037,0.6363118,0.36368817
589824,9842.624832041569,1.0,25.818937,100.0,25.852074,-1.0,-0.23666066,1.0,0.95264995,-0.19743125,-0.051100526,0.07670617,-0.01166144,1.5558434,0.6361953,0.36380467
655360,10124.98592255999,1.0,26.027433,100.0,26.073639,-1.0,-0.2304997,1.0,0.9532709,-0.19175829,-0.045479253,0.08384614,-0.009590281,1.5562408,0.635384,0.36461598
720896,9701.60411725548,1.0,26.18423,100.0,26.256802,-1.0,-0.22793154,1.0,0.95313287,-0.18959802,-0.05018122,0.08116155,-0.013500767,1.5452248,0.6340276,0.36597243
786432,9334.270942452735,1.0,26.402557,100.0,26.449928,-1.0,-0.22179984,1.0,0.9538496,-0.18400899,-0.05192533,0.07704973,-0.013307589,1.5428525,0.63252604,0.367474
851968,8989.523989961011,1.0,26.615532,100.0,26.66719,-1.0,-0.21834977,1.0,0.9538341,-0.18080485,-0.0530162,0.07633606,-0.014607608,1.5315323,0.63089526,0.36910477
917504,8106.00292435247,1.0,26.792194,100.0,26.833714,-1.0,-0.21152101,1.0,0.9545829,-0.17488533,-0.05143109,0.07813734,-0.014359217,1.5228106,0.6293793,0.37062073
983040,7719.174120260751,1.0,26.919722,100.0,26.989576,-1.0,-0.20802239,1.0,0.954645,-0.17148082,-0.055297278,0.07278167,-0.015622308,1.521316,0.62750244,0.37249756
1048576,8103.516219463922,1.0,27.073683,100.0,27.153046,-1.0,-0.19812688,1.0,0.95604455,-0.16307923,-0.052635938,0.07441648,-0.014079545,1.5152925,0.6239319,0.37606812
1114112,7451.614139968393,1.0,27.218044,100.0,27.312063,-1.0,-0.19406381,1.0,0.956117,-0.15929991,-0.051073078,0.07907048,-0.015134053,1.5094855,0.6195679,0.38043213
1179648,7804.432596678401,1.0,27.416697,100.0,27.499046,-1.0,-0.18715818,1.0,0.9566566,-0.15327565,-0.058638573,0.0681485,-0.017469727,1.5048617,0.6151123,0.3848877
1245184,7225.043117024248,1.0,27.564634,100.0,27.627163,-1.0,-0.18032677,1.0,0.957394,-0.14710678,-0.058306627,0.068388425,-0.017417084,1.5016749,0.60939026,0.39060974
1310720,7093.257301403799,1.0,27.712671,100.0,27.793404,-1.0,-0.17272766,1.0,0.9578623,-0.1402795,-0.058787633,0.068010844,-0.017858448,1.498692,0.6044464,0.3955536
1376256,6999.554985643393,1.0,27.867449,100.0,27.93648,-1.0,-0.16473022,1.0,0.95861745,-0.13340902,-0.06035499,0.06541398,-0.018385189,1.4935358,0.5984497,0.4015503
1441792,6867.600310913184,1.0,28.021544,100.0,28.10162,-1.0,-0.15553176,1.0,0.95935684,-0.12557293,-0.060442515,0.06486885,-0.018398505,1.4895688,0.5915222,0.40847778
1507328,6783.141931539543,1.0,28.117632,100.0,28.218914,-1.0,-0.1470676,1.0,0.96011204,-0.11815342,-0.057144184,0.069897346,-0.017824886,1.4853594,0.58406067,0.41593933
1572864,6668.01801174238,1.0,28.223738,100.0,28.351492,-1.0,-0.13764171,1.0,0.96087164,-0.110025145,-0.058076188,0.068017654,-0.018101519,1.4796695,0.5755005,0.4244995
1638400,6555.331707461325,1.0,28.32314,100.0,28.466448,-1.0,-0.12903728,1.0,0.9614639,-0.10260198,-0.058803935,0.0678032,-0.019034404,1.4734224,0.56689453,0.43310547
1703936,6455.635823649982,1.0,28.413809,100.0,28.595545,-1.0,-0.1186104,1.0,0.96214175,-0.0937597,-0.058854897,0.06597652,-0.018277824,1.4713063,0.5577545,0.44224548
1769472,6389.948729011667,1.0,28.516056,100.0,28.728954,-1.0,-0.10895595,1.0,0.96250784,-0.08549346,-0.061202668,0.06255736,-0.019007623,1.4694746,0.5479584,0.45204163
1835008,6313.043949689746,1.0,28.653313,100.0,28.867247,-1.0,-0.10145358,1.0,0.96250796,-0.07893645,-0.06332589,0.0589158,-0.019584665,1.4639825,0.5404663,0.4595337
1900544,6216.195182959318,1.0,28.808731,100.0,29.00315,-1.0,-0.09185791,1.0,0.9627224,-0.07061692,-0.060399693,0.06486511,-0.019872798,1.4591892,0.53134155,0.46865845
