timestep,fps,ep_len_min,ep_len_mean,ep_len_max,ep_len_std,return_min,return_mean,return_max,return_std,disc_return_mean,total_loss,value_loss,actor_loss,entropy,prob_fail,prob_success
65536,1646.7547310770576,1.0,20.108335,100.0,21.272514,-1.0,-0.25944427,1.0,0.9589453,-0.2226045,-0.012212256,0.13934104,-0.0017039389,1.6035768,0.6362785,0.36372152
131072,16188.765633382327,1.0,21.121784,100.0,21.787745,-1.0,-0.24487138,1.0,0.9621384,-0.20983036,-0.023668637,0.11500019,-0.001200326,1.5993682,0.6318887,0.36811128
196608,14081.453846592436,1.0,21.560587,100.0,22.052677,-1.0,-0.2465481,1.0,0.9614062,-0.21253528,-0.0301239,0.10391098,-0.0024768626,1.5920504,0.6302731,0.3697269
262144,14157.370556596255,1.0,22.124247,100.0,22.46525,-1.0,-0.2490028,1.0,0.96036303,-0.21449108,-0.032062467,0.100990996,-0.0027151667,1.5968561,0.63164717,0.36835286
327680,12360.189443289015,1.0,22.173393,100.0,22.436764,-1.0,-0.24942248,1.0,0.9601154,-0.21494241,-0.034578968,0.101224154,-0.0059125824,1.5855694,0.6325422,0.36745784
393216,11749.795289376818,1.0,22.311834,100.0,22.601555,-1.0,-0.24454448,1.0,0.96105033,-0.21032481,-0.03793243,0.098529845,-0.008328487,1.5773772,0.63153493,0.3684651
458752,11137.633886476711,1.0,22.440758,100.0,22.650248,-1.0,-0.24526358,1.0,0.9605299,-0.21050382,-0.043739,0.09223973,-0.011373198,1.5697134,0.63092947,0.36907053
524288,10521.525979827438,1.0,22.666277,100.0,22.758087,-1.0,-0.24095759,1.0,0.9613314,-0.20648083,-0.04284829,0.09429632,-0.0121069625,1.5577894,0.63024956,0.3697504
589824,9470.929642288795,1.0,22.784248,100.0,22.85235,-1.0,-0.24138466,1.0,0.9610072,-0.20622706,-0.04656201,0.091310896,-0.014442867,1.5554914,0.6295925,0.3704075
655360,9006.70671671552,1.0,22.870268,100.0,22.901205,-1.0,-0.23861171,1.0,0.9615203,-0.20319098,-0.047838986,0.09332042,-0.016731106,1.5553619,0.6291538,0.3708462
720896,8625.734896023298,1.0,22.88428,100.0,22.990332,-1.0,-0.2353877,1.0,0.96201366,-0.20045386,-0.04422572,0.09921181,-0.016504891,1.5465347,0.62788486,0.3721151
786432,8233.458021609697,1.0,22.993643,100.0,23.142164,-1.0,-0.23311068,1.0,0.9621376,-0.19782281,-0.04948898,0.09288271,-0.01934367,1.5317334,0.6268921,0.3731079
851968,8324.353381182578,1.0,23.212683,100.0,23.366276,-1.0,-0.22826117,1.0,0.9625944,-0.19337498,-0.05338721,0.084918626,-0.019901607,1.5188985,0.6249542,0.37504578
917504,7607.041375087253,1.0,23.344803,100.0,23.435879,-1.0,-0.22559515,1.0,0.9629452,-0.19044732,-0.050592497,0.09028567,-0.02012952,1.5121162,0.6232605,0.3767395
983040,7968.944621211331,1.0,23.570066,100.0,23.62539,-1.0,-0.22069347,1.0,0.963491,-0.18572895,-0.054941025,0.0833424,-0.021751883,1.4972069,0.62101746,0.37898254
1048576,7332.022557450708,1.0,23.761396,100.0,23.76627,-1.0,-0.213733,1.0,0.9647612,-0.17925186,-0.05386897,0.08586231,-0.022585178,1.484299,0.6167145,0.38328552
1114112,7163.382550187254,1.0,23.919744,100.0,23.887915,-1.0,-0.20858236,1.0,0.96537125,-0.17455825,-0.056855604,0.082320295,-0.024149476,1.4773252,0.6121521,0.3878479
1179648,7063.3839191929155,1.0,24.118471,100.0,24.03267,-1.0,-0.20265318,1.0,0.9661597,-0.16907696,-0.058059134,0.07771883,-0.02309516,1.4764678,0.60749817,0.39250183
1245184,6950.91563595698,1.0,24.295473,100.0,24.177843,-1.0,-0.19609682,1.0,0.96721524,-0.16290057,-0.056672815,0.081836216,-0.023681931,1.4781798,0.60284424,0.39715576
1310720,6853.20262245699,1.0,24.38235,100.0,24.283995,-1.0,-0.18946251,1.0,0.96816385,-0.1566052,-0.056131333,0.085737236,-0.024974996,1.480499,0.59669495,0.40330505
1376256,6723.865627531895,1.0,24.428164,100.0,24.331306,-1.0,-0.18159205,1.0,0.9695445,-0.14951006,-0.05479374,0.08903155,-0.025450794,1.4771743,0.5902252,0.40977478
1441792,6596.089957069417,1.0,24.514008,100.0,24.405579,-1.0,-0.17364515,1.0,0.9707606,-0.14270136,-0.05387066,0.08945861,-0.025195863,1.4680817,0.58192444,0.41807556
1507328,6507.176044811793,1.0,24.571554,100.0,24.472841,-1.0,-0.16356009,1.0,0.97220933,-0.13387462,-0.056424193,0.08372401,-0.024795506,1.469814,0.57240295,0.42759705
1572864,6384.457178554313,1.0,24.6159,100.0,24.549936,-1.0,-0.15272534,1.0,0.97371113,-0.12437517,-0.058772985,0.08290798,-0.02691022,1.4663348,0.5615692,0.4384308
1638400,5839.322347599654,1.0,24.695358,100.0,24.632917,-1.0,-0.14248657,1.0,0.97494763,-0.11515576,-0.05263768,0.08923029,-0.024506284,1.4549305,0.5501251,0.44987488
1703936,6204.748297078423,1.0,24.849472,100.0,24.777958,-1.0,-0.12727356,1.0,0.9765422,-0.10164553,-0.05294483,0.08958054,-0.025010034,1.4545014,0.53881836,0.46118164
