timestep,fps,ep_len_min,ep_len_mean,ep_len_max,ep_len_std,return_min,return_mean,return_max,return_std,disc_return_mean,total_loss,value_loss,actor_loss,entropy,prob_fail,prob_success
65536,1650.8911525446092,1.0,20.108335,100.0,21.272514,-1.0,-0.25944427,1.0,0.9589453,-0.2226045,0.051931173,0.1393599,-0.0017173385,1.6031438,0.6362785,0.36372152
131072,15179.943002105096,1.0,21.21397,100.0,21.961405,-1.0,-0.24554229,1.0,0.961762,-0.20785429,0.039262492,0.11304586,-0.0012614953,1.5998936,0.6322456,0.3677544
196608,14182.809329230771,1.0,21.550833,100.0,22.219616,-1.0,-0.24064466,1.0,0.9622178,-0.20486143,0.03609969,0.10943964,-0.0027936748,1.5826459,0.62911946,0.37088057
262144,14084.357218459687,1.0,22.264753,100.0,22.551683,-1.0,-0.24587923,1.0,0.96080464,-0.20978598,0.030096244,0.09932579,-0.0039562816,1.561038,0.6299595,0.37004045
327680,12343.716702359596,1.0,23.058807,100.0,23.215227,-1.0,-0.24379025,1.0,0.9600005,-0.20725955,0.024098184,0.091630116,-0.006342802,1.5374069,0.63126934,0.36873066
393216,11938.761217441514,1.0,23.7112,100.0,23.785212,-1.0,-0.23978944,1.0,0.95960385,-0.20358114,0.0193822,0.086701564,-0.008719555,1.5249028,0.63102615,0.36897385
458752,10636.151689053328,1.0,24.253319,100.0,24.246592,-1.0,-0.2433882,1.0,0.9568922,-0.20559022,0.011385028,0.07785829,-0.0125698075,1.4974307,0.6326046,0.36739543
524288,10907.304622291227,1.0,24.9934,100.0,24.871252,-1.0,-0.24081866,1.0,0.955725,-0.20292546,0.01044389,0.074445054,-0.01207421,1.4704425,0.63449246,0.3655075
589824,9788.496881103612,1.0,25.568968,100.0,25.341995,-1.0,-0.23917203,1.0,0.95462716,-0.2001353,0.005414604,0.07006473,-0.015091742,1.4526021,0.63503236,0.36496767
655360,10094.419490956525,1.0,26.012814,100.0,25.684631,-1.0,-0.23660962,1.0,0.95387286,-0.19751418,0.007251851,0.073973686,-0.015203493,1.4531497,0.635353,0.36464697
720896,9738.314356938297,1.0,26.326412,100.0,25.883978,-1.0,-0.23340291,1.0,0.9543058,-0.19381095,0.00582276,0.07853301,-0.018729195,1.4714549,0.6347184,0.36528155
786432,8770.249832270247,1.0,26.663006,100.0,26.158808,-1.0,-0.23222056,1.0,0.953514,-0.19206586,0.0026677381,0.07261777,-0.019151017,1.449013,0.6343411,0.36565888
851968,9086.886474508805,1.0,26.876589,100.0,26.324457,-1.0,-0.22855155,1.0,0.9535851,-0.18853721,0.004043605,0.07842867,-0.020661982,1.4508753,0.6340049,0.36599508
917504,8759.229698909383,1.0,27.11353,100.0,26.479036,-1.0,-0.22430432,1.0,0.95387167,-0.18408337,0.0017264353,0.075653434,-0.021772644,1.4327639,0.63275445,0.36724555
983040,7799.4921366061035,1.0,27.335775,100.0,26.622322,-1.0,-0.22011702,1.0,0.9542483,-0.17982894,0.00039805472,0.072761044,-0.021739867,1.4242604,0.631546,0.36845398
1048576,7651.382109447107,1.0,27.554152,100.0,26.787498,-1.0,-0.21442111,1.0,0.954812,-0.17442232,0.00033560547,0.07492569,-0.022916852,1.4210393,0.6291199,0.37088013
1114112,7475.954726613721,1.0,27.825115,100.0,26.9854,-1.0,-0.20888054,1.0,0.9551001,-0.16946273,-0.0017315794,0.069105,-0.022356467,1.3927612,0.62698364,0.37301636
1179648,7404.512216743532,1.0,28.065948,100.0,27.1729,-1.0,-0.20468408,1.0,0.95508784,-0.16530418,-0.001783224,0.06815201,-0.022099905,1.3759321,0.6247101,0.37528992
1245184,7246.2438872598395,1.0,28.313663,100.0,27.382751,-1.0,-0.19858801,1.0,0.9553969,-0.15977177,-0.0035645622,0.06621647,-0.023068912,1.3603884,0.62242126,0.37757874
1310720,7198.222023108071,1.0,28.507504,100.0,27.551933,-1.0,-0.19340084,1.0,0.9556722,-0.15491675,-0.004101944,0.06670431,-0.023659734,1.3794361,0.6190491,0.38095093
1376256,7592.594405893608,1.0,28.651855,100.0,27.701748,-1.0,-0.18668196,1.0,0.9562643,-0.1488202,-0.004260569,0.06724658,-0.02403507,1.384879,0.615036,0.384964
1441792,6944.529991323567,1.0,28.820837,100.0,27.843006,-1.0,-0.18064451,1.0,0.95671624,-0.14342047,-0.003972387,0.067399345,-0.023961736,1.3710318,0.61094666,0.38905334
1507328,6870.922703705674,1.0,28.935246,100.0,27.948448,-1.0,-0.17327541,1.0,0.9575426,-0.137123,-0.0030814009,0.069695175,-0.024317587,1.3611399,0.6040344,0.39596558
1572864,6717.155854793182,1.0,29.016678,100.0,28.05674,-1.0,-0.16436711,1.0,0.95863247,-0.12914243,-0.0028332886,0.0682167,-0.02327099,1.3670648,0.59687805,0.40312195
1638400,6620.249271912745,1.0,29.136951,100.0,28.181427,-1.0,-0.15722856,1.0,0.9591867,-0.12290773,-0.0038674667,0.065990336,-0.023431797,1.3430837,0.5891266,0.4108734
1703936,6548.750466216071,1.0,29.199472,100.0,28.269907,-1.0,-0.14928626,1.0,0.95994216,-0.115987614,-0.0023357673,0.068370566,-0.023002846,1.351821,0.58177185,0.41822815
