timestep,fps,ep_len_min,ep_len_mean,ep_len_max,ep_len_std,return_min,return_mean,return_max,return_std,disc_return_mean,total_loss,value_loss,actor_loss,entropy,prob_fail,prob_success
65536,1189.7803278799502,1.0,37.852028,100.0,34.712845,-1.0,0.30906922,1.0,0.8752436,0.21641292,0.030208457,0.09524482,-0.0013742327,1.6039723,0.4146778,0.5853222
131072,7358.924108536176,1.0,37.098995,100.0,34.536766,-1.0,0.3296987,1.0,0.872697,0.23615435,0.01742497,0.073101886,-0.003300638,1.5825335,0.4,0.6
196608,7349.604928828903,1.0,35.549908,100.0,34.21307,-1.0,0.33180988,1.0,0.8759184,0.24075095,0.012787619,0.06666808,-0.0048757177,1.5670704,0.3954296,0.6045704
262144,7337.613932859681,1.0,34.49967,100.0,33.864265,-1.0,0.33651677,1.0,0.87781584,0.24452996,0.011881034,0.06337006,-0.004216646,1.5587349,0.3898395,0.61016047
327680,7336.656640893866,1.0,33.18151,100.0,33.346004,-1.0,0.34009376,1.0,0.88102406,0.24910854,0.014217119,0.06801084,-0.004465989,1.5322307,0.38401955,0.61598045
393216,7344.57139362246,1.0,31.940706,100.0,32.82519,-1.0,0.34457693,1.0,0.88321817,0.254621,0.0151697965,0.07038786,-0.004923697,1.5100435,0.37830773,0.62169224
458752,7336.6742647162055,1.0,30.937857,100.0,32.465435,-1.0,0.34941718,1.0,0.88374084,0.25978595,0.015390407,0.06803592,-0.0037153082,1.4912245,0.37374628,0.6262537
524288,7303.270038127781,1.0,30.068329,100.0,32.020077,-1.0,0.35626295,1.0,0.8839555,0.26698044,0.01582512,0.070138104,-0.0046190685,1.4624864,0.36771816,0.63228184
589824,7318.961674687463,1.0,28.99364,100.0,31.498583,-1.0,0.35882267,1.0,0.88640094,0.27034795,0.018359493,0.07368554,-0.0040069316,1.447635,0.36335847,0.6366415
655360,7307.377491340766,1.0,28.227705,100.0,31.098871,-1.0,0.35819736,1.0,0.8888325,0.27132243,0.01873771,0.07592986,-0.0049684746,1.4258745,0.36173704,0.638263
720896,7311.488983887071,1.0,27.32538,100.0,30.580742,-1.0,0.36295593,1.0,0.8896073,0.2779128,0.02165147,0.08267243,-0.0055825785,1.4102166,0.35695288,0.6430471
786432,7303.8591959975565,1.0,26.554882,100.0,30.113121,-1.0,0.3704857,1.0,0.8887835,0.28622177,0.018720841,0.07929991,-0.007117281,1.3811835,0.35115924,0.6488407
851968,7302.701540449246,1.0,25.612825,100.0,29.603228,-1.0,0.37813988,1.0,0.887868,0.29550087,0.023574976,0.087860174,-0.006855878,1.3499236,0.3452804,0.6547196
917504,7290.428861364151,1.0,24.518917,100.0,28.95098,-1.0,0.38871187,1.0,0.885998,0.30798128,0.025640845,0.09177192,-0.0072429553,1.300216,0.3375994,0.6624006
983040,7301.691462775979,1.0,23.117579,100.0,28.162992,-1.0,0.40572816,1.0,0.88150054,0.3276884,0.030374866,0.10055251,-0.007434913,1.2466486,0.3263066,0.67369336
1048576,7312.412679449831,1.0,22.007586,100.0,27.510593,-1.0,0.41957176,1.0,0.8771357,0.34386337,0.028032782,0.09588017,-0.007767181,1.2140124,0.31751034,0.68248963
1114112,7309.685445363554,1.0,20.831173,100.0,26.725662,-1.0,0.4357679,1.0,0.87184024,0.3623451,0.032196242,0.104143694,-0.0081017455,1.1773868,0.30711654,0.6928835
1179648,7301.047773779689,1.0,19.7545,100.0,25.983267,-1.0,0.45208004,1.0,0.865735,0.38095337,0.031839035,0.10420528,-0.008830788,1.1432822,0.29702324,0.70297676
1245184,7308.039394907384,1.0,18.527054,100.0,25.043808,-1.0,0.46914673,1.0,0.85935384,0.4004475,0.034716778,0.106804624,-0.0076901847,1.099536,0.2861328,0.7138672
1310720,7310.261446598144,1.0,15.991089,100.0,22.532705,-1.0,0.4999237,1.0,0.8480252,0.43583915,0.034044,0.10175791,-0.0057955477,1.1039408,0.26550293,0.7344971
1376256,7312.578226307983,1.0,13.927353,100.0,20.248348,-1.0,0.53260803,1.0,0.83252,0.47293746,0.03253639,0.10158959,-0.0074792234,1.0779185,0.24531555,0.75468445
1441792,7314.599825276382,1.0,12.314117,100.0,18.279533,-1.0,0.56637573,1.0,0.81298137,0.510541,0.03116452,0.096133575,-0.006421325,1.0480942,0.22595215,0.77404785
1507328,7312.8264633752115,1.0,10.918777,100.0,16.3777,-1.0,0.5993805,1.0,0.7915409,0.5465663,0.032930113,0.09592675,-0.0048203315,1.0212933,0.20741272,0.7925873
1572864,7306.3931145864235,1.0,9.95076,100.0,14.927346,-1.0,0.62950134,1.0,0.7696296,0.57878864,0.032078937,0.093155675,-0.004418346,1.0080554,0.19094849,0.8090515
1638400,7312.821599634442,1.0,9.364151,100.0,13.930959,-1.0,0.6542969,1.0,0.7499568,0.6046497,0.026189286,0.088388965,-0.00828883,0.9716366,0.17758179,0.8224182
1703936,7312.204929721376,1.0,8.926453,100.0,13.244315,-1.0,0.67607117,1.0,0.7310671,0.6274134,0.028388124,0.08953884,-0.0066774786,0.97038174,0.16619873,0.83380127
1769472,7322.777587984757,1.0,8.612976,100.0,12.727352,-1.0,0.6950836,1.0,0.713571,0.6468457,0.025179425,0.084259905,-0.007367721,0.958282,0.15629578,0.8437042
1835008,7326.765820355866,1.0,8.336655,100.0,12.1727295,-1.0,0.71421814,1.0,0.69512147,0.66618186,0.024859156,0.08638678,-0.009182598,0.9151634,0.14624023,0.85375977
1900544,7309.436449646088,1.0,8.117874,100.0,11.767443,-1.0,0.73039246,1.0,0.67857873,0.6826165,0.021984149,0.07677816,-0.007651505,0.87534314,0.13783264,0.86216736
1966080,7319.53855411491,1.0,7.872162,100.0,11.296011,-1.0,0.74380493,1.0,0.6643437,0.69661653,0.023561813,0.080734245,-0.008245672,0.85596395,0.13079834,0.86920166
2031616,7320.070299201097,1.0,7.6769867,100.0,10.93395,-1.0,0.7576752,1.0,0.648892,0.7108005,0.022642385,0.07641563,-0.007076791,0.84886414,0.12359619,0.8764038
2097152,7321.186084430847,1.0,7.50412,100.0,10.616446,-1.0,0.7743225,1.0,0.62904245,0.72772026,0.015978482,0.063645326,-0.0072394013,0.86047775,0.11520386,0.88479614
2162688,7312.7031209076395,1.0,7.3531647,100.0,10.326878,-1.0,0.7861786,1.0,0.61442125,0.73994774,0.017938826,0.06988468,-0.008518132,0.8485377,0.1091156,0.8908844
2228224,7315.633726360906,1.0,7.186493,100.0,9.91532,-1.0,0.80122375,1.0,0.59497637,0.7553607,0.0159142,0.061872866,-0.0068288944,0.8193339,0.10140991,0.8985901
2293760,7318.291946002372,1.0,7.0590973,100.0,9.717251,-1.0,0.8161621,1.0,0.57435316,0.77053565,0.013801119,0.05859049,-0.007433931,0.80601937,0.09391785,0.90608215
2359296,7307.810522407418,1.0,6.943939,100.0,9.405836,-1.0,0.82896423,1.0,0.5560319,0.7835135,0.013686839,0.05899973,-0.00782202,0.7991006,0.08734131,0.9126587
2424832,7309.881971525921,1.0,6.876297,100.0,9.238685,-1.0,0.8434448,1.0,0.53385365,0.7979449,0.011080173,0.052898288,-0.007379879,0.79890954,0.080078125,0.9199219
2490368,7319.247959226195,1.0,6.7472534,100.0,8.924021,-1.0,0.85401917,1.0,0.5170789,0.8088792,0.015362467,0.055179186,-0.004775737,0.74513865,0.07463074,0.92536926
2555904,7321.9134873427665,1.0,6.6234436,100.0,8.5705595,-1.0,0.8625946,1.0,0.5029767,0.81776386,0.011503515,0.04717298,-0.0045758337,0.75071424,0.07017517,0.9298248
2621440,7314.661527985566,1.0,6.5035095,100.0,8.284875,-1.0,0.8715515,1.0,0.48765147,0.82697856,0.009521861,0.049225878,-0.007873131,0.7217946,0.06552124,0.93447876
2686976,7322.437775094651,1.0,6.384796,100.0,7.9522657,-1.0,0.88023376,1.0,0.47223562,0.83591276,0.0073029483,0.042662233,-0.0069622966,0.70658714,0.06097412,0.9390259
2752512,7312.689113824251,1.0,6.260559,100.0,7.642331,-1.0,0.888031,1.0,0.45765465,0.8441528,0.008106406,0.042070664,-0.006155697,0.67732316,0.05696106,0.94303894
2818048,7318.271098109509,1.0,6.1335754,100.0,7.341496,-1.0,0.89675903,1.0,0.4405147,0.85340667,0.0073973895,0.03800618,-0.0049391002,0.6666598,0.052505493,0.9474945
